row_label_raw,row_label_full,col_0,Quả hạnTriệu VND,Không chịu rúti ro lãi suất do định giá lại Triệu VND,Kỳ thay đổi lãi suất,Kỳ thay đổi lãi suất_1,Kỳ thay đổi lãi suất_2,Kỳ thay đổi lãi suất_3,Kỳ thay đổi lãi suất_4,Kỳ thay đổi lãi suất_5,Tổng cộngTriệu VND,numeric__Quả hạnTriệu VND,numeric__Không chịu rúti ro lãi suất do định giá lại Triệu VND,numeric__Kỳ thay đổi lãi suất,numeric__Kỳ thay đổi lãi suất_1,numeric__Kỳ thay đổi lãi suất_2,numeric__Kỳ thay đổi lãi suất_3,numeric__Kỳ thay đổi lãi suất_4,numeric__Kỳ thay đổi lãi suất_5,numeric__Tổng cộngTriệu VND
,,,Quả hạnTriệu VND,Không chịu rúti ro lãi suất do định giá lại Triệu VND,Dưới1 thángTriệu VND,Từ 1 đến3 thángTriệu VND,Từ trên 3 đến6 thángTriệu VND,Từ trên 6 đến12 thángTriệu VND,Từ trên 1 đến5 nămTriệu VND,Trên 5 nămTriệu VND,Tổng cộngTriệu VND,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,10.015.748,-,-,-,-,-,-,10.015.748,,10015748.0,,,,,,,10015748.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,42.326.070,44.496.684,-,-,-,-,-,86.822.754,,42326070.0,44496684.0,,,,,,86822754.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),641,-,218.863.367,28.182.654,38.104.835,-,-,-,285.151.497,641.0,,218863367.0,28182654.0,38104835.0,,,,285151497.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,238.596,-,9.005.323,-,-,9.243.919,,,,238596.0,,9005323.0,,,9243919.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,1.029.563,(37.926),(1.108.419),(275.297),1.055.335,-,663.256,,,1029563.0,-37926.0,-1108419.0,-275297.0,1055335.0,,663256.0
Cho vay khách hàng và Trái phiếu doanh nghiệp chưa niêm yết (*),Tài sản > Cho vay khách hàng và Trái phiếu doanh nghiệp chưa niêm yết (*),Cho vay khách hàng và Trái phiếu doanh nghiệp chưa niêm yết (*),39.460.682,-,342.333.205,728.652.795,571.813.193,198.374.363,137.762.103,553.553,2.018.949.894,39460682.0,,342333205.0,728652795.0,571813193.0,198374363.0,137762103.0,553553.0,2018949894.0
Chứng khoán đầu tư (không bao gồm Trái phiếu doanh nghiệp chưa niêm yết) (*),Tài sản > Chứng khoán đầu tư (không bao gồm Trái phiếu doanh nghiệp chưa niêm yết) (*),Chứng khoán đầu tư (không bao gồm Trái phiếu doanh nghiệp chưa niêm yết) (*),-,13.386.748,4.100.000,4.615.999,46.600.000,46.700.000,77.455.671,78.039.986,270.898.404,,13386748.0,4100000.0,4615999.0,46600000.0,46700000.0,77455671.0,78039986.0,270898404.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,8.085.623,-,-,-,-,-,-,8.085.623,,8085623.0,,,,,,,8085623.0
