row_label_raw,row_label_full,Bên liên quan,Số dư,31/12/2024,31/12/2024_1,numeric__Số dư,numeric__31/12/2024,numeric__31/12/2024_1
Bên liên quan,Bên liên quan,Bên liên quan,Số dư,Phải thuTriệu VND,Phải trảTriệu VND,,,
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền gửi tại Ngân hàng của các công ty con,-,5.382.668,,,5382668.0
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền vay từ Ngân hàng của các công ty con,1.055.000,-,,1055000.0,
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Tiền gửi của Ngân hàng tại các công ty con,9.710.886,-,,9710886.0,
Các công ty con,Bên liên quan > Các công ty con,Các công ty con,- Phải thu từ các công ty con,208.760,-,,208760.0,
Các công ty liên doanh,Bên liên quan > Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi tại Ngân hàng của các công ty liên doanh,-,4.750.940,,,4750940.0
Các công ty liên doanh,Bên liên quan > Các công ty liên doanh,Các công ty liên doanh,- Tiền gửi của Ngân hàng tại các công ty liên doanh,2.563.915,-,,2563915.0,
Các công ty liên kết,Bên liên quan > Các công ty liên kết,Các công ty liên kết,- Tiền gửi tại Ngân hàng của các công ty liên kết,-,780.318,,,780318.0
Các công ty liên kết,Bên liên quan > Các công ty liên kết,Các công ty liên kết,- Phải thu các công ty liên kết,53.725,-,,53725.0,
"Người quản lý, thành viên ban kiểm soát","Bên liên quan > Người quản lý, thành viên ban kiểm soát","Người quản lý, thành viên ban kiểm soát","- Tiền gửi của người quản lý, thành viên BKS tại Ngân hàng",-,77.347,,,77347.0
"Người quản lý, thành viên ban kiểm soát","Bên liên quan > Người quản lý, thành viên ban kiểm soát","Người quản lý, thành viên ban kiểm soát","- Dư nợ thể tín dụng tại Ngân hàng của người quản lý, thành viên BKS",992,-,,992.0,
