row_label_raw,row_label_full,col_0,1/1/2024,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,31/12/2024Tổng cộng,numeric__1/1/2024,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__31/12/2024Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,(55.153),981.043,(952.111),(26.221),-55153.0,981043.0,-952111.0,-26221.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,3.327.286,6.126.675,(6.610.759),2.843.202,3327286.0,6126675.0,-6610759.0,2843202.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,152.488,1.707.600,(1.694.485),165.603,152488.0,1707600.0,-1694485.0,165603.0
Các khoản phải nộp khác vàcác khoản phí lệ phí,Các khoản phải nộp khác vàcác khoản phí lệ phí,Các khoản phải nộp khác vàcác khoản phí lệ phí,171.725,23.438,(23.517),171.646,171725.0,23438.0,-23517.0,171646.0
,,,3.596.346,8.838.756,(9.280.872),3.154.230,3596346.0,8838756.0,-9280872.0,3154230.0
