row_label_raw,row_label_full,Cam kết mua TSCĐ hữu hình có giá trị lớn trong tương lai,31/12/2024Triệu VND > 118.811,31/12/2023Triệu VND > 968.407,numeric__31/12/2024Triệu VND > 118.811,numeric__31/12/2023Triệu VND > 968.407
Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ hữu hình đã khấu hao hết nhưng vấn còn sử dụng,4.557.558,4.208.229,4557558.0,4208229.0
Giá trị còn lại của TSCĐ hữu hình đang chờ thanh lý,Giá trị còn lại của TSCĐ hữu hình đang chờ thanh lý,Giá trị còn lại của TSCĐ hữu hình đang chờ thanh lý,44,303,44.0,303.0
