row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,Tổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,,,
Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính,,,
Số dư đầu năm,Nguyên giá TSCĐ thuê tài chính > Số dư đầu năm,Số dư đầu năm,17.056,20.438,37.494,17056.0,20438.0,37494.0
Giảm do mua lại TSCĐ thuê tài chính,Nguyên giá TSCĐ thuê tài chính > Giảm do mua lại TSCĐ thuê tài chính,Giảm do mua lại TSCĐ thuê tài chính,(17.056),(20.438),(37.494),-17056.0,-20438.0,-37494.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,16.844,20.425,37.269,16844.0,20425.0,37269.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,100,13,113,100.0,13.0,113.0
Giảm do mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > Giảm do mua lại TSCĐ thuê tài chính,Giảm do mua lại TSCĐ thuê tài chính,(16.944),(20.438),(37.382),-16944.0,-20438.0,-37382.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,Giá trị còn lại của TSCĐ thuê tài chính,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ thuê tài chính > Số dư đầu năm,Số dư đầu năm,212,13,225,212.0,13.0,225.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
