row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2024 Triệu VND,31/12/2023 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2024 Triệu VND,numeric__31/12/2023 Triệu VND
1.,1.,1.,Bảo lãnh vay vốn,38,6.999.728,7.481.373,,38.0,6999728.0,7481373.0
2.,2.,2.,Cam kết giao dịch hồi đoái,,133.387.287,1.433.870,,,133387287.0,1433870.0
a.,a.,a.,Cam kết mua ngoại tệ,,2.333.456,846.669,,,2333456.0,846669.0
b.,b.,b.,Cam kết bán ngoại tệ,,2.666.274,587.201,,,2666274.0,587201.0
c.,c.,c.,Cam kết giao dịch hoán đối đến,,64.605.066,-,,,64605066.0,
d.,d.,d.,Cam kết giao dịch hoán đối đi,,63.782.491,-,,,63782491.0,
3.,3.,3.,Cam kết trong nghiệp vụ L/C,38,62.109.504,82.824.148,,38.0,62109504.0,82824148.0
4.,4.,4.,Bảo lãnh khác,38,198.301.002,198.803.232,,38.0,198301002.0,198803232.0
5.,5.,5.,Cam kết khác,38,14.317.273,23.851.634,,38.0,14317273.0,23851634.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,39,19.171.327,16.025.839,,39.0,19171327.0,16025839.0
7.,7.,7.,Nợ khó đòi đã xử lý,40,248.826.970,216.887.369,,40.0,248826970.0,216887369.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,127.202.397,110.552.244,,,127202397.0,110552244.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,121.624.573,106.335.125,,,121624573.0,106335125.0
8.,8.,8.,Tài sản và chứng từ khác,41,66.167.709,79.628.493,,41.0,66167709.0,79628493.0
