row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Thặng dưvốn cố phânTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Lợi nhuận sau thuếchưa phân phốiTriệu VND,Tổng cộngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Thặng dưvốn cố phânTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Quỹ dự trữbố sungvốn điều lệTriệu VND,numeric__Lợi nhuận sau thuếchưa phân phốiTriệu VND,numeric__Tổng cộngTriệu VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,50.585.239,14.292.382,7.946.500,4.003.386,19.879.811,96.707.318,50585239.0,14292382.0,7946500.0,4003386.0,19879811.0,96707318.0
Tăng vốn từ trả cố tức bằng cố phiếu,Tăng vốn từ trả cố tức bằng cố phiếu,Tăng vốn từ trả cố tức bằng cố phiếu,6.419.120,-,-,-,(6.419.120),-,6419120.0,,,,-6419120.0,
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,21.374.934,21.374.934,,,,,21374934.0,21374934.0
Trích/tạm trích các quỹ năm 2023,Trích/tạm trích các quỹ năm 2023,Trích/tạm trích các quỹ năm 2023,-,-,2.137.493,1.079.302,(3.216.795),-,,,2137493.0,1079302.0,-3216795.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(1.164),-,-,(1.164),,,-1164.0,,,-1164.0
"Trích lập bổ sung quỹ khen thưởng, phúc lợicác năm tài chính trước","Trích lập bổ sung quỹ khen thưởng, phúc lợicác năm tài chính trước","Trích lập bổ sung quỹ khen thưởng, phúc lợicác năm tài chính trước",-,-,-,-,(294.630),(294.630),,,,,-294630.0,-294630.0
"Tạm trích quỹ khen thưởng, phúc lợi năm2023","Tạm trích quỹ khen thưởng, phúc lợi năm2023","Tạm trích quỹ khen thưởng, phúc lợi năm2023",-,-,-,-,(2.614.380),(2.614.380),,,,,-2614380.0,-2614380.0
Tăng/(giảm) khác,Tăng/(giảm) khác,Tăng/(giảm) khác,-,-,-,827,(1.983),(1.156),,,,827.0,-1983.0,-1156.0
Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,Số dư tại ngày 31/12/2023,57.004.359,14.292.382,10.082.829,5.083.515,28.707.837,115.170.922,57004359.0,14292382.0,10082829.0,5083515.0,28707837.0,115170922.0
