row_label_raw,row_label_full,Họ và tên > Ông Quách Hùng Hiệp,Chức vụ > Ủy viên,2024 > 2.301,2023 > 2.099,Ghi chú > Miễn nhiệm PTGD ngày 30 tháng 1 năm 2024Bố nhiệm UV HDQT ngày 30 tháng 1 năm 2024,numeric__Chức vụ > Ủy viên,numeric__2024 > 2.301,numeric__2023 > 2.099,numeric__Ghi chú > Miễn nhiệm PTGD ngày 30 tháng 1 năm 2024Bố nhiệm UV HDQT ngày 30 tháng 1 năm 2024
Ông Nguyễn Văn Thạnh,Ông Nguyễn Văn Thạnh,Ông Nguyễn Văn Thạnh,Ủy viên độc lập,600,600,,,600.0,600.0,
"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường","THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường","THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường","THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường","THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường","THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường","THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường",,,,
Ông Trần Phương,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Trần Phương",Ông Trần Phương,Phó Tổng Giám đốc,2.095,1.903,,,2095.0,1903.0,
Ông Lê Trung Thành,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Lê Trung Thành",Ông Lê Trung Thành,Phó Tổng Giám đốc,1.994,1.903,,,1994.0,1903.0,
Ông Nguyễn Thiên Hoàng,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Nguyễn Thiên Hoàng",Ông Nguyễn Thiên Hoàng,Phó Tổng Giám đốc,1.954,1.811,,,1954.0,1811.0,
Ông Trần Long,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Trần Long",Ông Trần Long,Phó Tổng Giám đốc,1.789,1.641,,,1789.0,1641.0,
Bà Nguyễn Thị Quỳnh Giao,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Bà Nguyễn Thị Quỳnh Giao",Bà Nguyễn Thị Quỳnh Giao,Phó Tổng Giám đốc,1.790,1.641,,,1790.0,1641.0,
Ông Hoàng Việt Hùng,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Hoàng Việt Hùng",Ông Hoàng Việt Hùng,Phó Tổng Giám đốc,1.790,1.641,,,1790.0,1641.0,
Ông Phan Thanh Hải,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Phan Thanh Hải",Ông Phan Thanh Hải,Phó Tổng Giám đốc,1.719,1.625,,,1719.0,1625.0,
Ông Đoàn Việt Nam,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Đoàn Việt Nam",Ông Đoàn Việt Nam,Phó Tổng Giám đốc,1.503,-,Bố nhiệm ngày 30 tháng 1 năm 2024,,1503.0,,
Ông Lại Tiến Quân,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Ông Lại Tiến Quân",Ông Lại Tiến Quân,Phó Tổng Giám đốc,1.503,-,Bố nhiệm ngày 30 tháng 1 năm 2024,,1503.0,,
Bà Bùi Thị Hòa,"THÀNH VIÊN BAN ĐIỀU HÀNH Lương, thường > Bà Bùi Thị Hòa",Bà Bùi Thị Hòa,Kế toán trường,1.306,-,Bố nhiệm ngày 1 tháng 3 năm 2024,,1306.0,,
"THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường","THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường","THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường","THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường","THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường","THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường","THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường",,,,
Bà Tạ Thị Hạnh,"THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường > Bà Tạ Thị Hạnh",Bà Tạ Thị Hạnh,Trường Ban Kiểm soát,1.987,1.818,Miễn nhiệm KTT ngày 30 tháng 1 năm 2024Bố nhiệm Trường ban Kiểm soát ngày 30 tháng 1 năm 2024,,1987.0,1818.0,
Ông Cao Cự Trí,"THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường > Ông Cao Cự Trí",Ông Cao Cự Trí,Thành viên chuyên trách,1.306,1.487,Thôi giao nhiệm vụ Thành viên phụ trách Ban Kiểm soát từ ngày 30 tháng 1 năm 2024,,1306.0,1487.0,
Bà Nguyễn Thị Thu Hà,"THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường > Bà Nguyễn Thị Thu Hà",Bà Nguyễn Thị Thu Hà,Thành viên chuyên trách,1.052,974,,,1052.0,974.0,
Ông Nguyễn Trung Kiên,"THÀNH VIÊN BAN KIỂM SOÁT Thù lao, thường > Ông Nguyễn Trung Kiên",Ông Nguyễn Trung Kiên,Thành viên chuyên trách,970,-,Bố nhiệm ngày 30 tháng 1 năm 2024,,970.0,,
