row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụngcụ quản lý,TSCDhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụngcụ quản lý,numeric__TSCDhửu hình khác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,7.081.794,5.364.921,1.476.731,196.650,145.271,14.265.367,7081794.0,5364921.0,1476731.0,196650.0,145271.0,14265367.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,13.460,690.683,80.200,2.668,6.630,793.641,13460.0,690683.0,80200.0,2668.0,6630.0,793641.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,234.896,218.266,48.010,22.007,3.760,526.939,234896.0,218266.0,48010.0,22007.0,3760.0,526939.0
Mua lại TSCĐ thuê tài chính,Nguyên giá TSCĐ hữu hình > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,17.056,20.438,-,-,37.494,,17056.0,20438.0,,,37494.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(10.953),(173.694),(55.184),(10.351),(7.702),(257.884),-10953.0,-173694.0,-55184.0,-10351.0,-7702.0,-257884.0
Tăng khác,Nguyên giá TSCĐ hữu hình > Tăng khác,Tăng khác,36,962,-,-,-,998,36.0,962.0,,,,998.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,7.319.233,6.118.194,1.570.195,210.974,147.959,15.366.555,7319233.0,6118194.0,1570195.0,210974.0,147959.0,15366555.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.898.762,4.239.107,1.151.121,166.595,111.964,8.567.549,2898762.0,4239107.0,1151121.0,166595.0,111964.0,8567549.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,291.500,479.167,101.333,14.585,13.715,900.300,291500.0,479167.0,101333.0,14585.0,13715.0,900300.0
Mua lại TSCĐ thuê tài chính,Giá trị hao mòn lũy kế > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,16.944,20.438,-,-,37.382,,16944.0,20438.0,,,37382.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.931),(171.446),(55.111),(10.322),(7.687),(252.497),-7931.0,-171446.0,-55111.0,-10322.0,-7687.0,-252497.0
Tăng khác,Giá trị hao mòn lũy kế > Tăng khác,Tăng khác,24,98,-,-,-,122,24.0,98.0,,,,122.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.182.355,4.563.870,1.217.781,170.858,117.992,9.252.856,3182355.0,4563870.0,1217781.0,170858.0,117992.0,9252856.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,4.183.032,1.125.814,325.610,30.055,33.307,5.697.818,4183032.0,1125814.0,325610.0,30055.0,33307.0,5697818.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.136.878,1.554.324,352.414,40.116,29.967,6.113.699,4136878.0,1554324.0,352414.0,40116.0,29967.0,6113699.0
