row_label_raw,row_label_full,col_0,Thuyết minh,2024Triệu VND,2023Triệu VND,numeric__Thuyết minh,numeric__2024Triệu VND,numeric__2023Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Thu nhập lãi và các khoản thu nhập tương tự nhận đượcChi phí lãi và các chi phí tương tự đã trả,Thu nhập lãi và các khoản thu nhập tương tự nhận đượcChi phí lãi và các chi phí tương tự đã trả,Thu nhập lãi và các khoản thu nhập tương tự nhận đượcChi phí lãi và các chi phí tương tự đã trả,,127.033.746(84.941.586),148.398.597(87.213.826),,,
"Thu nhập từ hoạt động dịch vụ nhận đượcChênh lệch số tiền thực thu từ hoạt động kinh doanhngoại tệ, chứng khoán","Thu nhập lãi và các khoản thu nhập tương tự nhận đượcChi phí lãi và các chi phí tương tự đã trả > Thu nhập từ hoạt động dịch vụ nhận đượcChênh lệch số tiền thực thu từ hoạt động kinh doanhngoại tệ, chứng khoán","Thu nhập từ hoạt động dịch vụ nhận đượcChênh lệch số tiền thực thu từ hoạt động kinh doanhngoại tệ, chứng khoán",,5.629.062,5.457.969,,5629062.0,5457969.0
Chi hoạt động khác,Chi hoạt động khác,Chi hoạt động khác,,10.506.844(3.057.916),8.161.549(2.661.810),,,
"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằngnguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằngnguồn dự phòng rủi ro","Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằngnguồn dự phòng rủi ro",,7.801.719(23.899.105),5.280.805(21.836.256),,,
Tiền chi trả cho nhân viên và hoạt động quản lý công vụTiền thuế thu nhập doanh nghiệp thực nộp trong năm,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằngnguồn dự phòng rủi ro > Tiền chi trả cho nhân viên và hoạt động quản lý công vụTiền thuế thu nhập doanh nghiệp thực nộp trong năm",Tiền chi trả cho nhân viên và hoạt động quản lý công vụTiền thuế thu nhập doanh nghiệp thực nộp trong năm,22,(6.610.759),(4.322.551),22.0,-6610759.0,-4322551.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động,"Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằngnguồn dự phòng rủi ro > Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động",Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động,,32.462.005,51.264.477,,32462005.0,51264477.0
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
"Tăng các khoản tiền, vàng gửi tại và cho vay các TCTD khác(Tăng)/giảm các khoản về kinh doanh chứng khoán(Tăng)/giảm các công cụ tài chính phải sinh và các tài sảntài chính khác","Tăng các khoản tiền, vàng gửi tại và cho vay các TCTD khác(Tăng)/giảm các khoản về kinh doanh chứng khoán(Tăng)/giảm các công cụ tài chính phải sinh và các tài sảntài chính khác","Tăng các khoản tiền, vàng gửi tại và cho vay các TCTD khác(Tăng)/giảm các khoản về kinh doanh chứng khoán(Tăng)/giảm các công cụ tài chính phải sinh và các tài sảntài chính khác",,(9.868.370)(57.502.911),(1.339.489)6.437.091,,,
"Tăng các khoản cho vay khách hàngGiảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắptôn thất các khoản nợ xấu, trái phiếu doanh nghiệp vàtrái phiếu đặc biệt","Tăng các khoản cho vay khách hàngGiảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắptôn thất các khoản nợ xấu, trái phiếu doanh nghiệp vàtrái phiếu đặc biệt","Tăng các khoản cho vay khách hàngGiảm nguồn dự phòng để xử lý rủi ro, xử lý, bù đắptôn thất các khoản nợ xấu, trái phiếu doanh nghiệp vàtrái phiếu đặc biệt",,(663.256)(273.416.768),1.038.368(252.240.868),,,
