row_label_raw,row_label_full,col_0,31.12.2025 > Giá trị ghi số Triệu VND,31.12.2025 > Mệnh giá Triệu VND,numeric__31.12.2025 > Giá trị ghi số Triệu VND,numeric__31.12.2025 > Mệnh giá Triệu VND
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,
Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu > Trái phiếu kỳ hạn từ một năm đến hai năm,Trái phiếu kỳ hạn từ một năm đến hai năm,39.849.045,39.850.000,39849045.0,39850000.0
Trái phiếu kỳ hạn ba năm,Trái phiếu > Trái phiếu kỳ hạn ba năm,Trái phiếu kỳ hạn ba năm,5.369.637,5.370.000,5369637.0,5370000.0
Trái phiếu kỳ hạn năm năm,Trái phiếu > Trái phiếu kỳ hạn năm năm,Trái phiếu kỳ hạn năm năm,4.715.768,4.720.000,4715768.0,4720000.0
Trái phiếu kỳ hạn mươi năm,Trái phiếu > Trái phiếu kỳ hạn mươi năm,Trái phiếu kỳ hạn mươi năm,2.420.205,2.430.000,2420205.0,2430000.0
Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,,
Chứng chỉ tiền gửi kỳ hạn dưới một năm,Chứng chỉ tiền gửi > Chứng chỉ tiền gửi kỳ hạn dưới một năm,Chứng chỉ tiền gửi kỳ hạn dưới một năm,73.249.767,73.249.767,73249767.0,73249767.0
Chứng chỉ tiền gửi kỳ hạn từ một năm đến hai năm,Chứng chỉ tiền gửi > Chứng chỉ tiền gửi kỳ hạn từ một năm đến hai năm,Chứng chỉ tiền gửi kỳ hạn từ một năm đến hai năm,5.400.000,5.400.000,5400000.0,5400000.0
Chứng chỉ tiền gửi kỳ hạn ba năm,Chứng chỉ tiền gửi > Chứng chỉ tiền gửi kỳ hạn ba năm,Chứng chỉ tiền gửi kỳ hạn ba năm,290.000,290.000,290000.0,290000.0
Chứng chỉ tiền gửi kỳ hạn năm năm,Chứng chỉ tiền gửi > Chứng chỉ tiền gửi kỳ hạn năm năm,Chứng chỉ tiền gửi kỳ hạn năm năm,2.000.000,2.000.000,2000000.0,2000000.0
,,,133.294.422,133.309.767,133294422.0,133309767.0
