row_label_raw,row_label_full,col_0,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024),Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024)_1,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024)_2,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng),numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024),numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024)_1,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày 31 tháng 12 năm 2024)_2
,,,Triệu VND,Tài sản Triệu VND,Công nợ Triệu VND,Tổng cộng Triệu VND,,,,
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,2.853.216,12.995,-,12.995,2853216.0,12995.0,,12995.0
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,95.715.115,203.660,-,203.660,95715115.0,203660.0,,203660.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,,,,
Giao dịch hoán đổi lãi suất,Công cụ tài chính phải sinh khác > Giao dịch hoán đổi lãi suất,Giao dịch hoán đổi lãi suất,8.086.677,-,(160.663),(160.663),8086677.0,,-160663.0,-160663.0
,,,106.655.008,216.655,(160.663),55.992,106655008.0,216655.0,-160663.0,55992.0
