row_label_raw,row_label_full,col_0,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",18.891,18.291,18891.0,18291.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,6.231.750,6.468.329,6231750.0,6468329.0
- Chi lương và phụ cấp,- Chi lương và phụ cấp,- Chi lương và phụ cấp,2.462.088,2.360.339,2462088.0,2360339.0
- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,500.385,490.936,500385.0,490936.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,13.508,8.144,13508.0,8144.0
- Chi khác cho nhân viên,- Chi khác cho nhân viên,- Chi khác cho nhân viên,3.255.769,3.608.910,3255769.0,3608910.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,1.648.010,1.645.532,1648010.0,1645532.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,425.500,433.368,425500.0,433368.0
- Chi khác,- Chi khác,- Chi khác,1.222.510,1.212.164,1222510.0,1212164.0
Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,2.382.631,2.212.159,2382631.0,2212159.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",646.439,574.929,646439.0,574929.0
Hoàn nhập chi phí dự phòng (i),Hoàn nhập chi phí dự phòng (i),Hoàn nhập chi phí dự phòng (i),(3.362),(16.637),-3362.0,-16637.0
,,,10.924.359,10.902.603,10924359.0,10902603.0
