row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmmáy vi tínhTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmmáy vi tínhTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.842.793,1.107.472,2.950.265,1842793.0,1107472.0,2950265.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6,98.699,98.705,6.0,98699.0,98705.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14.1(ii)),37.470,84.960,122.430,37470.0,84960.0,122430.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(57.794),(948),(58.742),-57794.0,-948.0,-58742.0
Phân loại lại (Thuyết minh 12.1),Nguyên giá > Phân loại lại (Thuyết minh 12.1),Phân loại lại (Thuyết minh 12.1),4.869,-,4.869,4869.0,,4869.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,1.827.344,1.290.183,3.117.527,1827344.0,1290183.0,3117527.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,10.007,750.086,760.093,10007.0,750086.0,760093.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,2.870,117.449,120.319,2870.0,117449.0,120319.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,-,(948),(948),,-948.0,-948.0
Tại ngày 31 tháng 12 năm 2025,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,12.877,866.587,879.464,12877.0,866587.0,879464.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,1.832.786,357.386,2.190.172,1832786.0,357386.0,2190172.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,1.814.467,423.596,2.238.063,1814467.0,423596.0,2238063.0
Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,Thông tin khác về tài sản cố định vô hình:,,,
,,,,31.12.2025,31.12.2024,,31122025.0,31122024.0
,,,,Triệu VND,Triệu VND,,,
Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vấn còn sử dụng,Thông tin khác về tài sản cố định vô hình: > Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vấn còn sử dụng,Nguyên giá TSCĐ vô hình đã khấu hao hết nhưng vấn còn sử dụng,,536.070,493.286,,536070.0,493286.0
BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,BẮT ĐỘNG SẢN ĐẦU TƯ,,,
,,,,31.12.2025,31.12.2024,,31122025.0,31122024.0
,,,,Triệu VND,Triệu VND,,,
Bất động sản đầu tư cho thuê,BẮT ĐỘNG SẢN ĐẦU TƯ > Bất động sản đầu tư cho thuê,Bất động sản đầu tư cho thuê,,38.948,-,,38948.0,
Bất động sản đầu tư nắm giữ chờ tăng giá,BẮT ĐỘNG SẢN ĐẦU TƯ > Bất động sản đầu tư nắm giữ chờ tăng giá,Bất động sản đầu tư nắm giữ chờ tăng giá,,110.725,177.005,,110725.0,177005.0
,,,,149.673,177.005,,149673.0,177005.0
