row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm 2025 Triệu VND,Năm 2024 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm 2025 Triệu VND,numeric__Năm 2024 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,58.755.829,50.902.749,,22.0,58755829.0,50902749.0
2,2,2,Chi phí lãi và các chi phí tương tự,23,(31.850.134),(23.108.047),,23.0,-31850134.0,-23108047.0
I,I,I,Thu nhập lãi thuần,,26.905.695,27.794.702,,,26905695.0,27794702.0
3,3,3,Thu nhập từ hoạt động dịch vụ,24,5.196.123,5.464.958,,24.0,5196123.0,5464958.0
4,4,4,Chi phí hoạt động dịch vụ,25,(2.049.383),(2.226.173),,25.0,-2049383.0,-2226173.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,,3.146.740,3.238.785,,,3146740.0,3238785.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,26,1.731.886,1.170.752,,26.0,1731886.0,1170752.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,27,474.316,200.357,,27.0,474316.0,200357.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,28,396.784,450.312,,28.0,396784.0,450312.0
5,5,5,Thu nhập từ hoạt động khác,,2.228.694,1.266.132,,,2228694.0,1266132.0
6,6,6,Chi phí hoạt động khác,,(1.205.407),(642.495),,,-1205407.0,-642495.0
VI,VI,VI,Lãi thuần từ hoạt động khác,29,1.023.287,623.637,,29.0,1023287.0,623637.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",30,119.175,36.214,,30.0,119175.0,36214.0
VIII,VIII,VIII,Chi phí hoạt động,31,(10.924.359),(10.902.603),,31.0,-10924359.0,-10902603.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chỉ phí dự phòng rủi ro tín dụng,,22.873.524,22.612.156,,,22873524.0,22612156.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,32,(3.334.748),(1.606.285),,32.0,-3334748.0,-1606285.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,19.538.776,21.005.871,,,19538776.0,21005871.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,33.1,(3.914.022),(4.199.699),,331.0,-3914022.0,-4199699.0
8,8,8,Chi phí thuế thu nhập doanh nghiệp hoãn lại,33.2,(55),(16.404),,332.0,-55.0,-16404.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,33,(3.914.077),(4.216.103),,33.0,-3914077.0,-4216103.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,15.624.699,16.789.768,,,15624699.0,16789768.0
