row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,TSCĐ hữu hình khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__TSCĐ hữu hình khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,2.837.008,2.827.613,651.050,188.605,6.504.276,2837008.0,2827613.0,651050.0,188605.0,6504276.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,5.651,116.375,66.277,15.116,203.419,5651.0,116375.0,66277.0,15116.0,203419.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14.1(ii)),225.644,8.031,1.822,-,235.497,225644.0,8031.0,1822.0,,235497.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.734),(100.351),(16.428),(9.210),(131.723),-5734.0,-100351.0,-16428.0,-9210.0,-131723.0
Phân loại lại (Thuyết minh 12.2),Nguyên giá > Phân loại lại (Thuyết minh 12.2),Phân loại lại (Thuyết minh 12.2),(4.869),-,-,-,(4.869),-4869.0,,,,-4869.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(227),(265),-,-,(492),-227.0,-265.0,,,-492.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,3.057.473,2.851.403,702.721,194.511,6.806.108,3057473.0,2851403.0,702721.0,194511.0,6806108.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2025,Hao mòn lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,817.256,1.982.976,324.545,157.301,3.282.078,817256.0,1982976.0,324545.0,157301.0,3282078.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,77.648,304.154,59.039,11.494,452.335,77648.0,304154.0,59039.0,11494.0,452335.0
Thanh lý,Hao mòn lũy kế > Thanh lý,Thanh lý,(2.855),(100.299),(16.428),(9.210),(128.792),-2855.0,-100299.0,-16428.0,-9210.0,-128792.0
Tại ngày 31 tháng 12 năm 2025,Hao mòn lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,892.049,2.186.831,367.156,159.585,3.605.621,892049.0,2186831.0,367156.0,159585.0,3605621.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,2.019.752,844.637,326.505,31.304,3.222.198,2019752.0,844637.0,326505.0,31304.0,3222198.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,2.165.424,664.572,335.565,34.926,3.200.487,2165424.0,664572.0,335565.0,34926.0,3200487.0
