row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Tại ngày 31 tháng 12 năm 2025,Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2025,Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2025,Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2025,Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2025,Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2025,Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2025,Trên 5 năm > Tại ngày 31 tháng 12 năm 2025,Tổng cộng > Tại ngày 31 tháng 12 năm 2025,numeric__Quá hạn > Tại ngày 31 tháng 12 năm 2025,numeric__Không chịu lãi suất > Tại ngày 31 tháng 12 năm 2025,numeric__Dưới 1 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ 1 tháng đến 3 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ trên 3 tháng đến 6 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ trên 6 tháng đến 12 tháng > Tại ngày 31 tháng 12 năm 2025,numeric__Từ trên 1 năm đến 5 năm > Tại ngày 31 tháng 12 năm 2025,numeric__Trên 5 năm > Tại ngày 31 tháng 12 năm 2025,numeric__Tổng cộng > Tại ngày 31 tháng 12 năm 2025
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,8.624.548,-,-,-,-,-,-,8.624.548,,8624548.0,,,,,,,8624548.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,16.574.958,-,-,-,-,-,-,16.574.958,,16574958.0,,,,,,,16574958.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,110.119.224,27.895.062,1.909.879,8.021.868,2.044.648,-,149.990.681,,,110119224.0,27895062.0,1909879.0,8021868.0,2044648.0,,149990681.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,6.708.358,-,-,-,-,-,-,6.708.358,,6708358.0,,,,,,,6708358.0
Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,Các công cụ tài chính phải sinh và các tài sản,,,,,,,,,
tài chính khác,Các công cụ tài chính phải sinh và các tài sản > tài chính khác,tài chính khác,-,324.298,-,-,-,-,-,-,324.298,,324298.0,,,,,,,324298.0
Cho vay khách hàng (*),Các công cụ tài chính phải sinh và các tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),8.908.141,-,26.688.519,625.989.362,19.976.643,4.582.957,275.560,356.170,686.777.352,8908141.0,,26688519.0,625989362.0,19976643.0,4582957.0,275560.0,356170.0,686777352.0
Chứng khoán đầu tư (*),Các công cụ tài chính phải sinh và các tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,64.226,-,-,-,52.503.873,41.300.000,50.307.267,144.175.366,,64226.0,,,,52503873.0,41300000.0,50307267.0,144175366.0
"Góp vốn, đầu tư dài hạn (*)","Các công cụ tài chính phải sinh và các tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,233.739,-,-,-,-,-,-,233.739,,233739.0,,,,,,,233739.0
Tài sản cố định,Các công cụ tài chính phải sinh và các tài sản > Tài sản cố định,Tài sản cố định,-,5.438.550,-,-,-,-,-,-,5.438.550,,5438550.0,,,,,,,5438550.0
Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,149.673,-,-,-,-,-,-,149.673,,149673.0,,,,,,,149673.0
Tài sản Có khác (*),Các công cụ tài chính phải sinh và các tài sản > Tài sản Có khác (*),Tài sản Có khác (*),183.988,14.810.326,-,-,-,-,-,-,14.994.314,183988.0,14810326.0,,,,,,,14994314.0
Tổng tài sản,Các công cụ tài chính phải sinh và các tài sản > Tổng tài sản,Tổng tài sản,9.092.129,52.928.676,136.807.743,653.884.424,21.886.522,65.108.698,43.620.208,50.663.437,1.033.991.837,9092129.0,52928676.0,136807743.0,653884424.0,21886522.0,65108698.0,43620208.0,50663437.0,1033991837.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,-,10.824.924,9.449.511,12.701.704,-,-,-,32.976.139,,,10824924.0,9449511.0,12701704.0,,,,32976139.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,101.410.721,32.557.887,18.627.014,2.403.917,-,-,154.999.539,,,101410721.0,32557887.0,18627014.0,2403917.0,,,154999539.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,137.277.524,165.302.462,154.104.080,94.751.966,33.744.143,-,585.180.175,,,137277524.0,165302462.0,154104080.0,94751966.0,33744143.0,,585180175.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,8.320,-,-,-,10.759,19.079,,,,8320.0,,,,10759.0,19079.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,4.999.896,3.400.000,73.749.729,48.724.592,2.420.205,133.294.422,,,,4999896.0,3400000.0,73749729.0,48724592.0,2420205.0,133294422.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,24.861.054,-,-,-,-,-,-,24.861.054,,24861054.0,,,,,,,24861054.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,24.861.054,249.513.169,212.318.076,188.832.798,170.905.612,82.468.735,2.430.964,931.330.408,,24861054.0,249513169.0,212318076.0,188832798.0,170905612.0,82468735.0,2430964.0,931330408.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,9.092.129,28.067.622,(112.705.426),441.566.348,(166.946.276),(105.796.914),(38.848.527),48.232.473,102.661.429,9092129.0,28067622.0,-112705426.0,441566348.0,-166946276.0,-105796914.0,-38848527.0,48232473.0,102661429.0
