row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Nhà cửaTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Nhà cửaTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,-,-,,,
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14.1(ii)),Tại ngày 1 tháng 1 năm 2025 > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14.1(ii)),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 14.1(ii)),37.080,1.887,38.967,37080.0,1887.0,38967.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 1 tháng 1 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,37.080,1.887,38.967,37080.0,1887.0,38967.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,-,-,,,
Khấu hao trong năm,Tại ngày 1 tháng 1 năm 2025 > Khấu hao trong năm,Khấu hao trong năm,-,19,19,,19.0,19.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 1 tháng 1 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,-,19,19,,19.0,19.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,-,-,-,,,
Tại ngày 31 tháng 12 năm 2025,Tại ngày 1 tháng 1 năm 2025 > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,37.080,1.868,38.948,37080.0,1868.0,38948.0
