row_label_raw,row_label_full,Số dư đầu năm > Tăng trong năm > Chuyển sang TSCĐ hữu hình (Thuyết minh 12.1) > Chuyển sang TSCĐ vô hình (Thuyết minh 12.2) > Chuyển sang bắt động sản đầu tư (Thuyết minh 13),Năm 2025Triệu VND > 740.684 > 511.155 > (235.497) > (122.430) > (87.382),Năm 2024Triệu VND > 1.174.974 > 552.821 > (305.764) > (674.338) > -,numeric__Năm 2025Triệu VND > 740.684 > 511.155 > (235.497) > (122.430) > (87.382),numeric__Năm 2024Triệu VND > 1.174.974 > 552.821 > (305.764) > (674.338) > -
Chuyển sang tài sản khác,Chuyển sang tài sản khác,Chuyển sang tài sản khác,-,(7.009),,-7009.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,806.530,740.684,806530.0,740684.0
Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,Số dư xây dựng cơ bản dở dang lớn bao gồm:,,
,,,31.12.2025Triệu VND,31.12.2024Triệu VND,,
"Mua sắm, xây dựng trụ sở, văn phòng làm việc","Số dư xây dựng cơ bản dở dang lớn bao gồm: > Mua sắm, xây dựng trụ sở, văn phòng làm việc","Mua sắm, xây dựng trụ sở, văn phòng làm việc",615.999,617.970,615999.0,617970.0
