row_label_raw,row_label_full,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ sở hữu và quyền biểu quyết,Tỷ lệ sở hữu và quyền biểu quyết_1,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ sở hữu và quyền biểu quyết,numeric__Tỷ lệ sở hữu và quyền biểu quyết_1
Tên công ty,Tên công ty,Tên công ty,Giấy phép hoạt động,Lĩnh vực kinh doanh,31.12.2025,31.12.2024,,,31122025.0,31122024.0
"Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")","Công ty TNHH Chứng khoán ACB (""ACBS"")",06/GPHĐKD,Chứng khoán,100%,100%,,,1.0,1.0
"Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng Á Châu (""ACBA"")","Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng Á Châu (""ACBA"")","Công ty TNHH Quản lý Nợ và Khai thác Tài sản Ngân hàng Á Châu (""ACBA"")",1349/NHNN-HCM.02,Quản lý nợ và tài sản,100%,100%,,,1.0,1.0
"Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu (""ACBL"")","Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu (""ACBL"")","Công ty TNHH Một thành viên Cho thuê Tài chính Ngân hàng Á Châu (""ACBL"")",06/GP-NHNN,Cho thuê tài chính,100%,100%,,,1.0,1.0
"Công ty TNHH Một thành viên Quản lý Quỹ ACB (""ACBC"") (*)","Công ty TNHH Một thành viên Quản lý Quỹ ACB (""ACBC"") (*)","Công ty TNHH Một thành viên Quản lý Quỹ ACB (""ACBC"") (*)",41/UBCK-GP,Quản lý quỹ,100%,100%,,,1.0,1.0
