row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuêtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Ngân hàngTriệu VND,numeric__Chứng khoánTriệu VND,numeric__Quản lý nợTriệu VND,numeric__Cho thuêtài chínhTriệu VND,numeric__Quản lý quỹTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,
"1. Tiền mặt, vàng bạc, đá quý","Tải sản > 1. Tiền mặt, vàng bạc, đá quý","1. Tiền mặt, vàng bạc, đá quý",8.624.548,-,-,-,-,-,8.624.548,8624548.0,,,,,,8624548.0
2. Tài sản cố định,Tải sản > 2. Tài sản cố định,2. Tài sản cố định,5.352.506,82.361,-,3.649,34,-,5.438.550,5352506.0,82361.0,,3649.0,34.0,,5438550.0
3. Tài sản khác,Tải sản > 3. Tài sản khác,3. Tài sản khác,986.472.756,38.277.684,2.041.557,2.707.991,1.082.262,(18.795.221),1.011.787.029,986472756.0,38277684.0,2041557.0,2707991.0,1082262.0,-18795221.0,1011787029.0
,,,1.000.449.810,38.360.045,2.041.557,2.711.640,1.082.296,(18.795.221),1.025.850.127,1000449810.0,38360045.0,2041557.0,2711640.0,1082296.0,-18795221.0,1025850127.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,
1. Nợ phải trả khách hàng bên ngoài,Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,900.528.246,24.274.415,1.335.686,1.965.608,2.429,(5.743.506),922.362.878,900528246.0,24274415.0,1335686.0,1965608.0,2429.0,-5743506.0,922362878.0
2. Nợ phải trả nội bộ,Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,889.692,34.624,11.262,3.150,2.475,-,941.203,889692.0,34624.0,11262.0,3150.0,2475.0,,941203.0
3. Nợ phải trả khác,Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,8.026.265,-,62,-,-,-,8.026.327,8026265.0,,62.0,,,,8026327.0
,,,909.444.203,24.309.039,1.347.010,1.968.758,4.904,(5.743.506),931.330.408,909444203.0,24309039.0,1347010.0,1968758.0,4904.0,-5743506.0,931330408.0
