row_label_raw,row_label_full,col_0,Năm 2025Triệu VND,Năm 2024Triệu VND,numeric__Năm 2025Triệu VND,numeric__Năm 2024Triệu VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,Thu nhập từ hoạt động khác > Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,Thu hồi nợ xấu đã sử dụng dự phòng để xử lý rủi ro,1.084.336,740.938,1084336.0,740938.0
Thu nhập từ hoạt động kinh doanh khác,Thu nhập từ hoạt động khác > Thu nhập từ hoạt động kinh doanh khác,Thu nhập từ hoạt động kinh doanh khác,776.150,211.790,776150.0,211790.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,368.208,313.404,368208.0,313404.0
,,,2.228.694,1.266.132,2228694.0,1266132.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi về hoạt động kinh doanh khác,Chi phí hoạt động khác > Chi về hoạt động kinh doanh khác,Chi về hoạt động kinh doanh khác,(1.098.516),(494.389),-1098516.0,-494389.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(106.891),(148.106),-106891.0,-148106.0
,,,(1.205.407),(642.495),-1205407.0,-642495.0
,,,1.023.287,623.637,1023287.0,623637.0
