row_label_raw,row_label_full,col_0,Năm 2025,Năm 2025_1,Năm 2025_2,Năm 2025_3,Năm 2025_4,Năm 2025_5,Năm 2025_6,numeric__Năm 2025,numeric__Năm 2025_1,numeric__Năm 2025_2,numeric__Năm 2025_3,numeric__Năm 2025_4,numeric__Năm 2025_5,numeric__Năm 2025_6
,,,Ngân hàngTriệu VND,Chứng khoánTriệu VND,Quản lý nợTriệu VND,Cho thuệtài chínhTriệu VND,Quản lý quỹTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,,,,,,,
Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,Thu nhập,,,,,,,
1. Thu nhập lãi,Thu nhập > 1. Thu nhập lãi,1. Thu nhập lãi,56.708.635,1.964.898,15.174,219.529,29.706,(182.113),58.755.829,56708635.0,1964898.0,15174.0,219529.0,29706.0,-182113.0,58755829.0
Thu nhập lãi từ khách hàng bên ngoài,Thu nhập > Thu nhập lãi từ khách hàng bên ngoài,Thu nhập lãi từ khách hàng bên ngoài,56.646.406,1.879.111,-,219.483,10.829,-,58.755.829,56646406.0,1879111.0,,219483.0,10829.0,,58755829.0
Thu nhập lãi từ nội bộ,Thu nhập > Thu nhập lãi từ nội bộ,Thu nhập lãi từ nội bộ,62.229,85.787,15.174,46,18.877,(182.113),-,62229.0,85787.0,15174.0,46.0,18877.0,-182113.0,
2. Thu nhập từ hoạt động dịch vụ,Thu nhập > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,4.579.310,457.779,155.135,-,4.985,(1.086),5.196.123,4579310.0,457779.0,155135.0,,4985.0,-1086.0,5196123.0
3. Thu nhập từ hoạt động kinh doanh khác,Thu nhập > 3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3.914.640,780.317,247.695,4.777,1.311,2.115,4.950.855,3914640.0,780317.0,247695.0,4777.0,1311.0,2115.0,4950855.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(30.950.747),(1.000.932),(2.592),(78.436),-,182.573,(31.850.134),-30950747.0,-1000932.0,-2592.0,-78436.0,,182573.0,-31850134.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(30.830.863),(1.000.932),-,(18.799),-,460,(31.850.134),-30830863.0,-1000932.0,,-18799.0,,460.0,-31850134.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(119.884),-,(2.592),(59.637),-,182.113,-,-119884.0,,-2592.0,-59637.0,,182113.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(399.023),(25.885),(19),(553),(20),-,(425.500),-399023.0,-25885.0,-19.0,-553.0,-20.0,,-425500.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(12.403.306),(1.049.042),(247.288),(38.694),(13.390),(1.929),(13.753.649),-12403306.0,-1049042.0,-247288.0,-38694.0,-13390.0,-1929.0,-13753649.0
Kết quả kinh doanh trước chi phíđư phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phíđư phòng rủi ro,Kết quả kinh doanh trước chi phíđư phòng rủi ro,21.449.509,1.127.135,168.105,106.623,22.592,(440),22.873.524,21449509.0,1127135.0,168105.0,106623.0,22592.0,-440.0,22873524.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(3.298.461),-,-,(45.062),-,8.775,(3.334.748),-3298461.0,,,-45062.0,,8775.0,-3334748.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,18.151.048,1.127.135,168.105,61.561,22.592,8.335,19.538.776,18151048.0,1127135.0,168105.0,61561.0,22592.0,8335.0,19538776.0
