row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2017Triệu VND,1/1/2017Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017Triệu VND,numeric__1/1/2017Triệu VND
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,20.225.195,20.312.625,400.0,,20225195.0,20312625.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,21,20.225.195,20.312.625,410.0,21.0,20225195.0,20312625.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,22,11.573.740,7.680.757,411.0,22.0,11573740.0,7680757.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,22,6.855.539,10.649.796,412.0,22.0,6855539.0,10649796.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(9.426.958),(9.426.958),414.0,,-9426958.0,-9426958.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,22,(6.518.087),(641.110),415.0,22.0,-6518087.0,-641110.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,2.431,(1.874),417.0,,2431.0,-1874.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,12.350.048,7.015.545,421.0,,12350048.0,7015545.0
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,,7.015.545,7.014.072,,,7015545.0,7014072.0
- Lợi nhuận sau thuế năm nay,- Lợi nhuận sau thuế năm nay,- Lợi nhuận sau thuế năm nay,421b,,5.334.503,1.473,,,5334503.0,1473.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,5.388.482,5.036.469,429.0,,5388482.0,5036469.0
TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,63.528.522,73.039.038,440.0,,63528522.0,73039038.0
