row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Cổ phiếu quỹ Triệu VND,Chênh lệch tỷ giá Lợi nhuận sau thuế hối đoái Triệu VND,chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Chênh lệch tỷ giá Lợi nhuận sau thuế hối đoái Triệu VND,numeric__chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,7.467.179,9.631.106,(9.045.049),-,-,8.561.380,16.614.616,10.494.430,27.109.046,7467179.0,9631106.0,-9045049.0,,,8561380.0,16614616.0,10494430.0,27109046.0
Phát hành cổ phiếu (Thuyết minh 22),Phát hành cổ phiếu (Thuyết minh 22),Phát hành cổ phiếu (Thuyết minh 22),213.578,1.018.690,-,-,-,-,1.232.268,-,1.232.268,213578.0,1018690.0,,,,,1232268.0,,1232268.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,-,(641.110),-,-,(641.110),-,(641.110),,,,-641110.0,,,-641110.0,,-641110.0
Giao dịch vốn chủ sở hữu,Giao dịch vốn chủ sở hữu,Giao dịch vốn chủ sở hữu,-,-,(381.909),-,-,-,(381.909),-,(381.909),,,-381909.0,,,,-381909.0,,-381909.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(2.060.328),(2.060.328),(6.165.737),(8.226.065),,,,,,-2060328.0,-2060328.0,-6165737.0,-8226065.0
Hợp nhất kinh doanh trong CDN,Hợp nhất kinh doanh trong CDN,Hợp nhất kinh doanh trong CDN,-,-,-,-,-,-,-,1.381,1.381,,,,,,,,1381.0,1381.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.791.444,2.791.444,981.053,3.772.497,,,,,,2791444.0,2791444.0,981053.0,3772497.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,(2.276.524),(2.276.524),-,(2.276.524),,,,,,-2276524.0,-2276524.0,,-2276524.0
Cổ tức đã phân phối của các công ty con Thanh toán thủ lao cho Hội đồng Quản trị của công ty con,Cổ tức đã phân phối của các công ty con Thanh toán thủ lao cho Hội đồng Quản trị của công ty con,Cổ tức đã phân phối của các công ty con Thanh toán thủ lao cho Hội đồng Quản trị của công ty con,-,-,-,-,-,-,-,(273.124),(273.124),,,,,,,,-273124.0,-273124.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,-,(1.874),-,(1.874),(380),(2.254),,,,,-1874.0,,-1874.0,-380.0,-2254.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,7.680.757,10.649.796,(9.426.958),(641.110),(1.874),7.015.545,15.276.156,5.036.469,20.312.625,7680757.0,10649796.0,-9426958.0,-641110.0,-1874.0,7015545.0,15276156.0,5036469.0,20312625.0
