row_label_raw,row_label_full,col_0,Thực phẩm và đồ uống,Thực phẩm và đồ uống_1,Chuỗi giá trị thịt,Chuỗi giá trị thịt_1,Kinh doanh khác,Kinh doanh khác_1,Tổng,Tổng_1,numeric__Thực phẩm và đồ uống,numeric__Thực phẩm và đồ uống_1,numeric__Chuỗi giá trị thịt,numeric__Chuỗi giá trị thịt_1,numeric__Kinh doanh khác,numeric__Kinh doanh khác_1,numeric__Tổng,numeric__Tổng_1
,,,2017Triệu VND,2016Triệu VND,2017Triệu VND,2016Triệu VND,2017Triệu VND,2016Triệu VND,2017Triệu VND,2016Triệu VND,,,,,,,,
Doanh thu của bộ phận,Doanh thu của bộ phận,Doanh thu của bộ phận,13.525.516,14.825.581,18.690.485,24.422.665,5.404.645,4.048.818,37.620.646,43.297.064,13525516.0,14825581.0,18690485.0,24422665.0,5404645.0,4048818.0,37620646.0,43297064.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,5.897.461,6.493.420,3.991.222,5.280.238,1.743.127,1.156.427,11.631.810,12.930.085,5897461.0,6493420.0,3991222.0,5280238.0,1743127.0,1156427.0,11631810.0,12930085.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,1.606.541,2.661.566,688.558,1.937.434,2.392.673,944.886,4.687.772,5.543.886,1606541.0,2661566.0,688558.0,1937434.0,2392673.0,944886.0,4687772.0,5543886.0
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,(1.080.082),(1.771.389),,,,,,,-1080082.0,-1771389.0
Lợi nhuận thuần,Lợi nhuận thuần,Lợi nhuận thuần,,,,,,,3.607.690,3.772.497,,,,,,,3607690.0,3772497.0
