row_label_raw,row_label_full,col_0,Thực phẩm và đồ uống > 31/12/2017Triệu VND,Thực phẩm và đồ uống > 1/1/2017Triệu VND,Chuỗi giá trị thịt > 31/12/2017Triệu VND,Chuỗi giá trị thịt > 1/1/2017Triệu VND,Kinh doanh khác > 31/12/2017Triệu VND,Kinh doanh khác > 1/1/2017Triệu VND,Tổng > 31/12/2017Triệu VND,Tổng > 1/1/2017Triệu VND,numeric__Thực phẩm và đồ uống > 31/12/2017Triệu VND,numeric__Thực phẩm và đồ uống > 1/1/2017Triệu VND,numeric__Chuỗi giá trị thịt > 31/12/2017Triệu VND,numeric__Chuỗi giá trị thịt > 1/1/2017Triệu VND,numeric__Kinh doanh khác > 31/12/2017Triệu VND,numeric__Kinh doanh khác > 1/1/2017Triệu VND,numeric__Tổng > 31/12/2017Triệu VND,numeric__Tổng > 1/1/2017Triệu VND
Tài sản của bộ phận,Tài sản của bộ phận,Tài sản của bộ phận,13.520.910,18.198.152,13.997.847,18.168.377,34.865.084,35.231.122,62.383.841,71.597.651,13520910.0,18198152.0,13997847.0,18168377.0,34865084.0,35231122.0,62383841.0,71597651.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,1.144.681,1.441.387,,,,,,,1144681.0,1441387.0
Tổug tài sản,Tổug tài sản,Tổug tài sản,,,,,,,63.528.522,73.039.038,,,,,,,63528522.0,73039038.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,6.537.706,5.703.114,6.093.569,12.581.924,14.005.091,13.451.049,26.636.366,31.736.087,6537706.0,5703114.0,6093569.0,12581924.0,14005091.0,13451049.0,26636366.0,31736087.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,16.666.961,20.990.326,,,,,,,16666961.0,20990326.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,43.303.327,52.726.413,,,,,,,43303327.0,52726413.0
,,,2017Triệu VND,2016Triệu VND,2017Triệu VND,2016Triệu VND,2017Triệu VND,2016Triệu VND,2017Triệu VND,2016Triệu VND,,,,,,,,
Chi tiêu vốn,Chi tiêu vốn,Chi tiêu vốn,516.239,989.112,653.732,746.033,940.731,1.178.946,2.110.702,2.914.091,516239.0,989112.0,653732.0,746033.0,940731.0,1178946.0,2110702.0,2914091.0
Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,,,321,6.492,321,6.492,,,,,321.0,6492.0,321.0,6492.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,584.985,507.777,269.027,221.434,1.089.403,937.251,1.943.415,1.666.462,584985.0,507777.0,269027.0,221434.0,1089403.0,937251.0,1943415.0,1666462.0
Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,Chi phí khấu hao không phân bổ,,,,,1.717,2.692,1.717,2.692,,,,,1717.0,2692.0,1717.0,2692.0
Chi phí phân bổ,Chi phí phân bổ,Chi phí phân bổ,301.943,350.871,421.313,401.729,209.082,196.030,932.338,948.630,301943.0,350871.0,421313.0,401729.0,209082.0,196030.0,932338.0,948630.0
Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,Chi phí phân bổ không phân bổ,,,,,46.395,48.051,46.395,48.051,,,,,46395.0,48051.0,46395.0,48051.0
