row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Chi phí trước hoạt động Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,"Trực in, công cụ và dụng cụ Triệu VND",Lợi thế kinh doanh từ cổ phần hóa Triệu VND,Chi phí khác Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Chi phí trước hoạt động Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,"numeric__Trực in, công cụ và dụng cụ Triệu VND",numeric__Lợi thế kinh doanh từ cổ phần hóa Triệu VND,numeric__Chi phí khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.150.909,25.819,326.076,1.120.617,112.828,28.210,105.110,2.869.569,1150909.0,25819.0,326076.0,1120617.0,112828.0,28210.0,105110.0,2869569.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,164.103,-,93.741,-,30.573,-,37.906,326.323,164103.0,,93741.0,,30573.0,,37906.0,326323.0
Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,Chuyển từ phải thu dài hạn khác,-,-,-,37.189,-,-,-,37.189,,,,37189.0,,,,37189.0
Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,Chuyển từ tài sản cố định hữu hình,-,-,-,-,-,-,2.696,2.696,,,,,,,2696.0,2696.0
Chuyển từ/(sang) chi phí xây dựng cơ bản dở dang,Chuyển từ/(sang) chi phí xây dựng cơ bản dở dang,Chuyển từ/(sang) chi phí xây dựng cơ bản dở dang,10.029,-,2.433,(9.003),29.061,-,35.580,68.100,10029.0,,2433.0,-9003.0,29061.0,,35580.0,68100.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,-,-,-,-,(18),-,-,(18),,,,,-18.0,,,-18.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(86.347),(21.725),(8.494),(67.497),(59.346),(3.134),(66.238),(312.781),-86347.0,-21725.0,-8494.0,-67497.0,-59346.0,-3134.0,-66238.0,-312781.0
Thanh lý,Thanh lý,Thanh lý,-,-,-,-,(205),-,-,(205),,,,,-205.0,,,-205.0
Xóa số,Xóa số,Xóa số,-,-,-,-,(51),-,-,(51),,,,,-51.0,,,-51.0
Phân loại lại,Phân loại lại,Phân loại lại,-,-,(38),-,(628),-,666,-,,,-38.0,,-628.0,,666.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,-,60,-,-,60,,,,,60.0,,,60.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.238.694,4.094,413.718,1.081.306,112.274,25.076,115.720,2.990.882,1238694.0,4094.0,413718.0,1081306.0,112274.0,25076.0,115720.0,2990882.0
