row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Phần mềmvi tínhTriệu VND,Thương hiệuTriệu VND,Quan hệkhách hàngTriệu VND,Tài nguyênnước khoángTriệu VND,Quyền khaithác mỏTriệu VND,Công nghệTriệu VND,Quyền khaithác nguồnnước khoángTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềmvi tínhTriệu VND,numeric__Thương hiệuTriệu VND,numeric__Quan hệkhách hàngTriệu VND,numeric__Tài nguyênnước khoángTriệu VND,numeric__Quyền khaithác mỏTriệu VND,numeric__Công nghệTriệu VND,numeric__Quyền khaithác nguồnnước khoángTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,332.769,380.790,2.413.459,3.074.214,412.698,588.373,669.433,117.800,7.989.536,332769.0,380790.0,2413459.0,3074214.0,412698.0,588373.0,669433.0,117800.0,7989536.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,3.073,-,-,-,-,-,-,3.073,,3073.0,,,,,,,3073.0
Chuyển từ chi phí xây dựng cơ bảnđở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang,Chuyển từ chi phí xây dựng cơ bảnđở dang,54.465,66.546,-,-,-,-,-,145,121.156,54465.0,66546.0,,,,,,145.0,121156.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,(807),-,-,-,-,-,-,(807),,-807.0,,,,,,,-807.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,387.234,449.602,2.413.459,3.074.214,412.698,588.373,669.433,117.945,8.112.958,387234.0,449602.0,2413459.0,3074214.0,412698.0,588373.0,669433.0,117945.0,8112958.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,35.902,102.462,459.889,570.950,29.528,66.469,230.239,7.818,1.503.257,35902.0,102462.0,459889.0,570950.0,29528.0,66469.0,230239.0,7818.0,1503257.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.211,51.312,151.400,143.838,21.935,30.550,138.143,6.081,553.470,10211.0,51312.0,151400.0,143838.0,21935.0,30550.0,138143.0,6081.0,553470.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,(766),-,-,-,-,-,-,(766),,-766.0,,,,,,,-766.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,46.113,153.008,611.289,714.788,51.463,97.019,368.382,13.899,2.055.961,46113.0,153008.0,611289.0,714788.0,51463.0,97019.0,368382.0,13899.0,2055961.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,296.867,278.328,1.953.570,2.503.264,383.170,521.904,439.194,109.982,6.486.279,296867.0,278328.0,1953570.0,2503264.0,383170.0,521904.0,439194.0,109982.0,6486279.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,341.121,296.594,1.802.170,2.359.426,361.235,491.354,301.051,104.046,6.056.997,341121.0,296594.0,1802170.0,2359426.0,361235.0,491354.0,301051.0,104046.0,6056997.0
