row_label_raw,row_label_full,col_0,1/1/2017 > Giá trị ghi sổ và số có khả năng trả nợ Triệu VND,1/1/2017 > Tăng Triệu VND,Biến động trong năm > Hoàn trả Triệu VND,Biến động trong năm > Phân loại lại từ các khoản vay và nợ dài hạn Triệu VND,Biến động trong năm > Lãi chênh lệch tỷ giá hối đoái chưa thực hiện Triệu VND,31/12/2017 > Giá trị ghi sổ và số có khả năng trả nợ Triệu VND,numeric__1/1/2017 > Giá trị ghi sổ và số có khả năng trả nợ Triệu VND,numeric__1/1/2017 > Tăng Triệu VND,numeric__Biến động trong năm > Hoàn trả Triệu VND,numeric__Biến động trong năm > Phân loại lại từ các khoản vay và nợ dài hạn Triệu VND,numeric__Biến động trong năm > Lãi chênh lệch tỷ giá hối đoái chưa thực hiện Triệu VND,numeric__31/12/2017 > Giá trị ghi sổ và số có khả năng trả nợ Triệu VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,7.947.513,20.878.483,(21.534.069),-,(18.163),7.273.764,7947513.0,20878483.0,-21534069.0,,-18163.0,7273764.0
Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,Vay và nợ dài hạn đến hạn trả,670.827,-,(584.232),1.805.914,-,1.892.509,670827.0,,-584232.0,1805914.0,,1892509.0
,,,8.618.340,20.878.483,(22.118.301),1.805.914,(18.163),9.166.273,8618340.0,20878483.0,-22118301.0,1805914.0,-18163.0,9166273.0
