row_label_raw,row_label_full,STT,Tên công ty,Tên công ty_1,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích tại,Tỷ lệ lợi ích tại_1,numeric__Tên công ty,numeric__Tên công ty_1,numeric__Hoạt động chính,numeric__Trụ sở,numeric__Tỷ lệ lợi ích tại,numeric__Tỷ lệ lợi ích tại_1
STT,STT,STT,Tên công ty,Tên công ty,Hoạt động chính,Trụ sở,31/12/2017,1/1/2017,,,,,,
19,STT > 19,19,Công ty TNHH Một Thành viên Masan ĐN (“MDN”) (*),(i),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","Đường số 7, Khu Công nghiệp Hòa Khánh, Phường Hòa Khánh Bắc, Quận Liên Chiêu, Thành phố Đà Nẵng, Việt Nam",-,"83,1%",,,,,,0.831
20,STT > 20,20,Công ty TNHH Một Thành viên Masan MB (“MMB”),(i),"Sản xuất gia vị, thực phẩm tiện lợi và bao bì","Khu B, Khu Công nghiệp Nam Cấm – Khu Kinh tế Đông Nam Nghệ An, Xã Nghi Long, Huyện Nghi Lộc, Tỉnh Nghệ An, Việt Nam","82,4%","83,1%",,,,,0.8240000000000001,0.831
21,STT > 21,21,Công ty TNHH Một Thành viên Masan HG (“MHG”),(i),Sản xuất thực phẩm tiện lợi và bao bì,"Khu Công nghiệp Sông Hậu, Xã Đồng Phú, Huyện Châu Thành, Tỉnh Hậu Giang, Việt Nam","82,4%","83,1%",,,,,0.8240000000000001,0.831
22,STT > 22,22,Công ty Cổ phần Thực phẩm Dinh dưỡng Sài Gòn (“SNF”),(i),Sản xuất và kinh doanh thực phẩm tiện lợi,"Lô K4, Đường số 2, Khu Công nghiệp Sống Thần 2, Huyện Dĩ An, Thị trấn Dĩ An, Tỉnh Bình Dương, Việt Nam","82,4%","83,1%",,,,,0.8240000000000001,0.831
23,STT > 23,23,Công ty Cổ phần Nước khoáng Quảng Ninh (“QNW”),(i),Sản xuất và kinh doanh đồ uống,"Nhóm 3A, Khu 4, Suối Mơ, Phường Bãi Cháy, Thành phố Hạ Long, Tỉnh Quảng Ninh, Việt Nam","54,2%","54,6%",,,,,0.542,0.546
24,STT > 24,24,Công ty TNHH Mapleleaf (“ML”),(ii),Tư vấn quản lý đầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","99,9%","99,9%",,,,,0.9990000000000001,0.9990000000000001
25,STT > 25,25,Công ty Cổ phần Tài Nguyên Masan (“MSR”),(ii),Tư vấn quản lý đầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 Lê Duẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","96,0%","93,8%",,,,,0.96,0.938
