row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,508.422,685.874,36.075,66.718,2.915.172,47.248,4.259.509,508422.0,685874.0,36075.0,66718.0,2915172.0,47248.0,4259509.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,208.766,393.842,11.703,15.923,1.277.895,23.543,1.931.672,208766.0,393842.0,11703.0,15923.0,1277895.0,23543.0,1931672.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(2.923),-,(335),(32.664),(17.417),(53.339),,-2923.0,,-335.0,-32664.0,-17417.0,-53339.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,(3.790),-,(3.341),(1.588),(79),(8.798),,-3790.0,,-3341.0,-1588.0,-79.0,-8798.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,5.135,(825),441,(4.660),(91),-,,5135.0,-825.0,441.0,-4660.0,-91.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,717.188,1.078.138,46.953,79.406,4.154.155,53.204,6.129.044,717188.0,1078138.0,46953.0,79406.0,4154155.0,53204.0,6129044.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,4.517.870,5.317.091,48.170,63.195,13.287.775,83.165,23.317.266,4517870.0,5317091.0,48170.0,63195.0,13287775.0,83165.0,23317266.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,4.309.104,6.021.485,37.238,61.252,13.275.768,63.203,23.768.050,4309104.0,6021485.0,37238.0,61252.0,13275768.0,63203.0,23768050.0
