row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc, thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịvăn phòng,Tài sảncố định khác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),1.919.475.889.510,2.101.978.057.481,217.482.502.109,51.192.900.568,638.700.000,4.290.768.049.668,1919475889510.0,2101978057481.0,217482502109.0,51192900568.0,638700000.0,4290768049668.0
- Xây dựng hoàn thành,Nguyên giá: > - Xây dựng hoàn thành,- Xây dựng hoàn thành,46.262.292.657,655.284.087.570,7.974.526.616,-,-,709.520.906.843,46262292657.0,655284087570.0,7974526616.0,,,709520906843.0
- Mua mới trong năm,Nguyên giá: > - Mua mới trong năm,- Mua mới trong năm,-,1.151.936.363,757.395.455,520.508.459,-,2.429.840.277,,1151936363.0,757395455.0,520508459.0,,2429840277.0
- Phân loại sang Bắt độngsản đầu tư,Nguyên giá: > - Phân loại sang Bắt độngsản đầu tư,- Phân loại sang Bắt độngsản đầu tư,(8.004.134.524),-,-,-,-,(8.004.134.524),-8004134524.0,,,,,-8004134524.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(3.128.953.701),(1.596.665.152),-,-,(4.725.618.853),,-3128953701.0,-1596665152.0,,,-4725618853.0
- Giảm do chuyển nhượngcông ty con,Nguyên giá: > - Giảm do chuyển nhượngcông ty con,- Giảm do chuyển nhượngcông ty con,(774.950.400),(50.617.935.709),(8.793.154.629),(784.309.092),(638.700.000),(61.609.049.830),-774950400.0,-50617935709.0,-8793154629.0,-784309092.0,-638700000.0,-61609049830.0
- Tăng khác,Nguyên giá: > - Tăng khác,- Tăng khác,4.744.795.828,-,-,-,-,4.744.795.828,4744795828.0,,,,,4744795828.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(142.466.956),(3.547.954.065),(238.329.871),(2.368.263.422),-,(6.297.014.314),-142466956.0,-3547954065.0,-238329871.0,-2368263422.0,,-6297014314.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.961.561.426.115,2.701.119.237.939,215.586.274.528,48.560.836.513,-,4.926.827.775.095,1961561426115.0,2701119237939.0,215586274528.0,48560836513.0,,4926827775095.0
