row_label_raw,row_label_full,col_0,Kinh doanhbất động sản,Kinh doanhhoạt động xây lắp,Sản xuất và kinhdoanh điện,Kinh doanh hoạtđộng cho thuê vàcác hoạt động khác,Điều chỉnh vàloại trừ,Đơn vị tính: VND,numeric__Kinh doanhbất động sản,numeric__Kinh doanhhoạt động xây lắp,numeric__Sản xuất và kinhdoanh điện,numeric__Kinh doanh hoạtđộng cho thuê vàcác hoạt động khác,numeric__Điều chỉnh vàloại trừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu bán hàng nội bộ,Doanh thu > Doanh thu bán hàng nội bộ,Doanh thu bán hàng nội bộ,-,347.936.269.896,-,81.496.755.575,(429.433.025.471),-,,347936269896.0,,81496755575.0,-429433025471.0,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,2.723.947.691.794,646.483.963.420,133.236.480.917,606.483.957.283,197.109.367.349,4.307.261.460.763,2723947691794.0,646483963420.0,133236480917.0,606483957283.0,197109367349.0,4307261460763.0
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,2.723.947.691.794,994.420.233.316,133.236.480.917,687.980.712.858,(232.323.658.122),4.307.261.460.763,2723947691794.0,994420233316.0,133236480917.0,687980712858.0,-232323658122.0,4307261460763.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,,
Lợi nhuận gộp trước thuế của bộ phận,Kết quả > Lợi nhuận gộp trước thuế của bộ phận,Lợi nhuận gộp trước thuế của bộ phận,1.208.718.343.619,29.797.777.708,423.432.025.963,168.144.952.325,(37.783.718.403),1.792.309.381.212,1208718343619.0,29797777708.0,423432025963.0,168144952325.0,-37783718403.0,1792309381212.0
Thu nhập/(chi phí) không phân bổ (i),Kết quả > Thu nhập/(chi phí) không phân bổ (i),Thu nhập/(chi phí) không phân bổ (i),-,-,-,-,(155.943.835.312),(155.943.835.312),,,,,-155943835312.0,-155943835312.0
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.034.317.560.592,(18.628.296.934),413.528.834.376,150.485.814.861,(193.727.553.715),1.385.976.359.180,1034317560592.0,-18628296934.0,413528834376.0,150485814861.0,-193727553715.0,1385976359180.0
Chí phí thuế TNDN,Kết quả > Chí phí thuế TNDN,Chí phí thuế TNDN,-,-,-,-,(276.402.395.055),(276.402.395.055),,,,,-276402395055.0,-276402395055.0
Lợi nhuận/(lỗ) thuần sau thuế,Kết quả > Lợi nhuận/(lỗ) thuần sau thuế,Lợi nhuận/(lỗ) thuần sau thuế,1.034.317.560.592,(18.628.296.934),413.528.834.376,150.485.814.861,(470.129.948.770),1.109.573.964.125,1034317560592.0,-18628296934.0,413528834376.0,150485814861.0,-470129948770.0,1109573964125.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,4.457.932.947.131,535.234.236.104,6.327.440.609.293,1.106.356.049.466,-,12.426.963.841.994,4457932947131.0,535234236104.0,6327440609293.0,1106356049466.0,,12426963841994.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),-,-,-,-,1.433.010.737.602,1.433.010.737.602,,,,,1433010737602.0,1433010737602.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,4.457.932.947.131,535.234.236.104,6.327.440.609.293,1.106.356.049.466,1.433.010.737.602,13.859.974.579.596,4457932947131.0,535234236104.0,6327440609293.0,1106356049466.0,1433010737602.0,13859974579596.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,3.652.850.843.899,302.778.617.880,111.626.291.411,59.659.818.386,-,4.126.915.571.576,3652850843899.0,302778617880.0,111626291411.0,59659818386.0,,4126915571576.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),-,-,-,-,6.457.127.240.554,6.457.127.240.554,,,,,6457127240554.0,6457127240554.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,3.652.850.843.899,302.778.617.880,111.626.291.411,59.659.818.386,6.457.127.240.554,10.584.042.812.130,3652850843899.0,302778617880.0,111626291411.0,59659818386.0,6457127240554.0,10584042812130.0
