row_label_raw,row_label_full,Mã số,CHỈ TIỀU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIỀU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
,,,III. LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
31,31,31,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,4.508.012.000,6.344.301.300,,,4508012000.0,6344301300.0
33,33,33,Tiền thu từ đi vay,,2.417.004.082.168,3.307.329.625.247,,,2417004082168.0,3307329625247.0
34,34,34,Tiền chỉ trả nợ gốc vay,,(1.610.634.637.522),(1.219.140.311.748),,,-1610634637522.0,-1219140311748.0
36,36,36,"Cổ tức, lợi nhuận đã trả cho cổ đông",,(122.409.308.027),(206.797.929.273),,,-122409308027.0,-206797929273.0
40,40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,688.468.148.619,1.887.735.685.526,,,688468148619.0,1887735685526.0
50,50,50,Lưu chuyển tiền thuần trong năm,,59.002.791.753,31.213.527.520,,,59002791753.0,31213527520.0
60,60,60,Tiền và tương đương tiền đầu năm,,400.931.370.621,387.721.397.929,,,400931370621.0,387721397929.0
61,61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,(22.012.366.350),(18.003.554.828),,,-22012366350.0,-18003554828.0
70,70,70,Tiền và tương đương tiền cuối năm,5,437.921.796.024,400.931.370.621,,5.0,437921796024.0,400931370621.0
