row_label_raw,row_label_full,col_0,Công ty Agrita - Quảng Nam,Công ty Sông Tranh 4,Đơn vị tính: VND Tổng cộng,numeric__Công ty Agrita - Quảng Nam,numeric__Công ty Sông Tranh 4,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,60.801.303.907,11.803.260.642,72.604.564.549,60801303907.0,11803260642.0,72604564549.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,60.801.303.907,11.803.260.642,72.604.564.549,60801303907.0,11803260642.0,72604564549.0
Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,Phân bổ lũy kế:,,,
Số đầu năm,Phân bổ lũy kế: > Số đầu năm,Số đầu năm,5.597.051.538,3.786.744.715,9.383.796.253,5597051538.0,3786744715.0,9383796253.0
- Phân bổ trong năm,Phân bổ lũy kế: > - Phân bổ trong năm,- Phân bổ trong năm,6.080.130.391,1.180.326.064,7.260.456.455,6080130391.0,1180326064.0,7260456455.0
Số cuối năm,Phân bổ lũy kế: > Số cuối năm,Số cuối năm,11.677.181.929,4.967.070.779,16.644.252.708,11677181929.0,4967070779.0,16644252708.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,55.204.252.369,8.016.515.927,63.220.768.296,55204252369.0,8016515927.0,63220768296.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,49.124.121.978,6.836.189.863,55.960.311.841,49124121978.0,6836189863.0,55960311841.0
