row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số đầu năm ( Trình bày lại) > Giá gốc,Số đầu năm ( Trình bày lại) > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm ( Trình bày lại) > Giá gốc,numeric__Số đầu năm ( Trình bày lại) > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi có kỳ hạn,Ngắn hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,69.960.000.000,69.960.000.000,70.072.232.760,70.072.232.760,69960000000.0,69960000000.0,70072232760.0,70072232760.0
,,,69.960.000.000,69.960.000.000,70.072.232.760,70.072.232.760,69960000000.0,69960000000.0,70072232760.0,70072232760.0
