row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư IP Việt Nam,Môi quan hệ > Công ty có chung thành viên HĐQT,Số dư đầu năm VND > 57.000.000.000,Số dư cuối năm VND > 57.000.000.000,"Lãi suất %/năm > 8,6%/năm",Ngày đáo hạn > Ngày 6 tháng 8 năm 2022,Hình thức đảm bảo > Tín chấp,numeric__Môi quan hệ > Công ty có chung thành viên HĐQT,numeric__Số dư đầu năm VND > 57.000.000.000,numeric__Số dư cuối năm VND > 57.000.000.000,"numeric__Lãi suất %/năm > 8,6%/năm",numeric__Ngày đáo hạn > Ngày 6 tháng 8 năm 2022,numeric__Hình thức đảm bảo > Tín chấp
,,,,57.000.000.000,57.000.000.000,,,,,57000000000.0,57000000000.0,,,
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2020:,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Môi quan hệ,Số dư cho vay VND,Lãi suất %/năm,Ngày đáo hạn,,Hình thức đảm bảo,,,,,,
Công ty Cổ phần Đầu tư An Lạc,Bên liên quan > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,131.181.869.000,"8,6% - 9%/năm",Ngày 6 tháng 10 năm 2021,,Tín chấp,,131181869000.0,,,,
Công ty Hà Đô 45,Bên liên quan > Công ty Hà Đô 45,Công ty Hà Đô 45,"Công ty con tới ngày 23 tháng 4 năm 2020, Công ty có chung thành viên HĐQT từ ngày 24 tháng 4 năm 2020",51.712.628.583,,Từ ngày 22 tháng 5 đến ngày 16 tháng 6 năm 2020,,Tín chấp,,51712628583.0,,,,
,,,,,4%/năm,,,,,,,,,
,,,,182.894.497.583,,,,,,182894497583.0,,,,
Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,Chi tiết các khoản cho vay ngắn hạn tại ngày 31 tháng 12 năm 2019:,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Môi quan hệ,Số dư cho vay VND,Lãi suất %/năm,Ngày đáo hạn,,Hình thức đảm bảo,,,,,,
Công ty Cổ phần Đầu tư An Lạc,Bên liên quan > Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,272.912.907.338,"8% - 9,3%/năm",Ngày 31 tháng 12 năm 2020,,Tín chấp,,272912907338.0,,,,
,,,,272.912.907.338,,,,,,272912907338.0,,,,
