row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,6.223.177.336,4.478.430.923,6223177336.0,4478430923.0
Chi phí môi giới và quảng cáo,Chi phí bán hàng > Chi phí môi giới và quảng cáo,Chi phí môi giới và quảng cáo,6.721.444.278,5.480.949.008,6721444278.0,5480949008.0
Chi phí khấu hao và hao mòn,Chi phí bán hàng > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,-,5.599.798.235,,5599798235.0
Chi phí khác bằng tiền,Chi phí bán hàng > Chi phí khác bằng tiền,Chi phí khác bằng tiền,1.226.435.945,5.436.104.450,1226435945.0,5436104450.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,14.171.057.559,20.995.282.616,14171057559.0,20995282616.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,117.407.940.531,152.600.136.046,117407940531.0,152600136046.0
Chi phí dự phòng nợ phải thu khó đòi,Chi phí quản lý doanh nghiệp > Chi phí dự phòng nợ phải thu khó đòi,Chi phí dự phòng nợ phải thu khó đòi,21.489.517.574,7.914.256.240,21489517574.0,7914256240.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,20.025.358.479,23.076.937.863,20025358479.0,23076937863.0
Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,5.414.889.556,5.802.713.752,5414889556.0,5802713752.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,27.508.692.790,39.999.860.203,27508692790.0,39999860203.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,191.846.398.930,229.393.904.104,191846398930.0,229393904104.0
