row_label_raw,row_label_full,Cổ tức đã công bố trong năm,Năm nay > Cổ tức đã công bố trong năm,Đơn vị tính: VND > Cổ tức đã công bố trong năm,numeric__Năm nay > Cổ tức đã công bố trong năm,numeric__Đơn vị tính: VND > Cổ tức đã công bố trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,510.212.308.000,355.941.192.000,510212308000.0,355941192000.0
Cổ tức trả bằng cổ phiếu cho năm 2020: 1 cổ phiếu/30 cổ phiếu hiện hữu (2019: 1 cổ phiếu/25 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2020: 1 cổ phiếu/30 cổ phiếu hiện hữu (2019: 1 cổ phiếu/25 cổ phiếu hiện hữu),Cổ tức trả bằng cổ phiếu cho năm 2020: 1 cổ phiếu/30 cổ phiếu hiện hữu (2019: 1 cổ phiếu/25 cổ phiếu hiện hữu),355.937.290.000,237.292.530.000,355937290000.0,237292530000.0
Tạm ứng cổ tức bằng tiền mặt,Tạm ứng cổ tức bằng tiền mặt,Tạm ứng cổ tức bằng tiền mặt,154.275.018.000,118.648.662.000,154275018000.0,118648662000.0
Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,Cổ tức trên cổ phiếu ưu đãi,-,-,,
