row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Đơn vị tính: VND > Số đầu năm (Trình bày lại),Đơn vị tính: VND > Số đầu năm (Trình bày lại)_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Đơn vị tính: VND > Số đầu năm (Trình bày lại),numeric__Đơn vị tính: VND > Số đầu năm (Trình bày lại)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Bất động sản xây dựng đề bán,Ngắn hạn > Bất động sản xây dựng đề bán,Bất động sản xây dựng đề bán,1.655.157.735.652,-,2.975.615.698.883,-,1655157735652.0,,2975615698883.0,
- Dự án Hà Đô Centrosa Garden,Ngắn hạn > - Dự án Hà Đô Centrosa Garden,- Dự án Hà Đô Centrosa Garden,525.693.395.770,-,1.973.442.111.616,,525693395770.0,,1973442111616.0,
- Dự án Khu đô thị mới An Khánh - An Thượng,Ngắn hạn > - Dự án Khu đô thị mới An Khánh - An Thượng,- Dự án Khu đô thị mới An Khánh - An Thượng,448.701.165.430,-,316.278.270.623,-,448701165430.0,,316278270623.0,
- Dự án Hà Đô Green Lane,Ngắn hạn > - Dự án Hà Đô Green Lane,- Dự án Hà Đô Green Lane,292.367.717.918,-,291.906.514.369,-,292367717918.0,,291906514369.0,
"- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào","Ngắn hạn > - Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào","- Dự án Khu đô thị mới Noongtha, Viên Chăn, Lào",278.474.294.354,-,279.034.776.874,-,278474294354.0,,279034776874.0,
- Dự án Chung cư CC1 Dịch Vọng,Ngắn hạn > - Dự án Chung cư CC1 Dịch Vọng,- Dự án Chung cư CC1 Dịch Vọng,41.481.993.854,-,43.243.550.770,-,41481993854.0,,43243550770.0,
- Các dự án khác,Ngắn hạn > - Các dự án khác,- Các dự án khác,68.439.168.326,-,71.710.474.631,-,68439168326.0,,71710474631.0,
Chi phí sản xuất kinh doanh dở dang,Ngắn hạn > Chi phí sản xuất kinh doanh dở dang,Chi phí sản xuất kinh doanh dở dang,68.627.906.416,-,239.252.803.922,-,68627906416.0,,239252803922.0,
Hàng hóa bất động sản,Ngắn hạn > Hàng hóa bất động sản,Hàng hóa bất động sản,24.976.048.000,-,24.976.048.000,-,24976048000.0,,24976048000.0,
Hàng tồn kho khác,Ngắn hạn > Hàng tồn kho khác,Hàng tồn kho khác,7.817.646.756,-,8.854.919.128,-,7817646756.0,,8854919128.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.756.579.336.824,-,3.248.699.469.933,-,1756579336824.0,,3248699469933.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Bất động sản xây dựng đề bán,Bất động sản xây dựng đề bán,Bất động sản xây dựng đề bán,,,,,,,,
- Dự án Biệt thự Bảo Đại,Bất động sản xây dựng đề bán > - Dự án Biệt thự Bảo Đại,- Dự án Biệt thự Bảo Đại,31.425.891.587,-,30.958.616.656,-,31425891587.0,,30958616656.0,
TỔNG CỘNG,Bất động sản xây dựng đề bán > TỔNG CỘNG,TỔNG CỘNG,31.425.891.587,-,30.958.616.656,-,31425891587.0,,30958616656.0,
