row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Quỹ bảo trì căn hộ (i),Ngắn hạn > Quỹ bảo trì căn hộ (i),Quỹ bảo trì căn hộ (i),189.233.363.447,95.493.578.669,189233363447.0,95493578669.0
Phải trả cổ tức,Ngắn hạn > Phải trả cổ tức,Phải trả cổ tức,177.673.707.175,118.968.108.027,177673707175.0,118968108027.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thượng (ii),Ngắn hạn > Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thượng (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng dự án An Khánh - An Thượng (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Nhận đặt cọc cho mục đích bán bất động sản,Ngắn hạn > Nhận đặt cọc cho mục đích bán bất động sản,Nhận đặt cọc cho mục đích bán bất động sản,18.400.000.000,10.000.000.000,18400000000.0,10000000000.0
"Nhận ký cược, ký quỹ","Ngắn hạn > Nhận ký cược, ký quỹ","Nhận ký cược, ký quỹ",14.752.522.979,9.182.392.700,14752522979.0,9182392700.0
Thu hộ phải trả,Ngắn hạn > Thu hộ phải trả,Thu hộ phải trả,12.715.464.471,2.701.084.969,12715464471.0,2701084969.0
Phải trả lợi nhuận chia sẻ theo BCC (iii),Ngắn hạn > Phải trả lợi nhuận chia sẻ theo BCC (iii),Phải trả lợi nhuận chia sẻ theo BCC (iii),5.875.000.280,9.567.700.280,5875000280.0,9567700280.0
Các khoản phải trả ngắn hạn khác,Ngắn hạn > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,23.801.579.664,17.357.654.995,23801579664.0,17357654995.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,463.082.092.562,283.900.974.186,463082092562.0,283900974186.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Nhận đặt cọc cho thuê,Dài hạn > Nhận đặt cọc cho thuê,Nhận đặt cọc cho thuê,28.056.528.486,21.820.338.125,28056528486.0,21820338125.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,28.056.528.486,21.820.338.125,28056528486.0,21820338125.0
