row_label_raw,row_label_full,Tại SAN CỔ ĐỊNH VỐ HÌNH,Tại SAN CỔ ĐỊNH VỐ HÌNH_1,Tại SAN CỔ ĐỊNH VỐ HÌNH_2,Tại SAN CỔ ĐỊNH VỐ HÌNH_3,Tại SAN CỔ ĐỊNH VỐ HÌNH_4,numeric__Tại SAN CỔ ĐỊNH VỐ HÌNH_1,numeric__Tại SAN CỔ ĐỊNH VỐ HÌNH_2,numeric__Tại SAN CỔ ĐỊNH VỐ HÌNH_3,numeric__Tại SAN CỔ ĐỊNH VỐ HÌNH_4
,,,Quyền đầu tư dự ánthủy điện (*),Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VNDTổng cộng,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,220.000.000.000,38.174.968.174,1.992.654.500,260.167.622.674,220000000000.0,38174968174.0,1992654500.0,260167622674.0
- Tăng mới trong năm,Nguyên giá: > - Tăng mới trong năm,- Tăng mới trong năm,-,104.669.904.641,695.800.000,105.365.704.641,,104669904641.0,695800000.0,105365704641.0
- Giảm do chuyển nhượng công ty con,Nguyên giá: > - Giảm do chuyển nhượng công ty con,- Giảm do chuyển nhượng công ty con,-,-,(219.600.000),(219.600.000),,,-219600000.0,-219600000.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,-,(24.288.784.659),-,(24.288.784.659),,-24288784659.0,,-24288784659.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,220.000.000.000,118.556.088.156,2.468.854.500,341.024.942.656,220000000000.0,118556088156.0,2468854500.0,341024942656.0
Trong đóĐã khấu hao hết:,Nguyên giá: > Trong đóĐã khấu hao hết:,Trong đóĐã khấu hao hết:,-,-,688.317.500,688.317.500,,,688317500.0,688317500.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,4.928.716.904,678.605.753,1.350.820.140,6.958.142.797,4928716904.0,678605753.0,1350820140.0,6958142797.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,-,1.905.663.900,268.716.667,2.174.380.567,,1905663900.0,268716667.0,2174380567.0
- Giảm do chuyển nhượng công ty con,Giá trị hao mòn lũy kế: > - Giảm do chuyển nhượng công ty con,- Giảm do chuyển nhượng công ty con,-,-,(153.100.000),(153.100.000),,,-153100000.0,-153100000.0
- Giảm khác,Giá trị hao mòn lũy kế: > - Giảm khác,- Giảm khác,(4.928.716.904),(962.471.600),-,(5.891.188.504),-4928716904.0,-962471600.0,,-5891188504.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,-,1.621.798.053,1.466.436.807,3.088.234.860,,1621798053.0,1466436807.0,3088234860.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,215.071.283.096,37.496.362.421,641.834.360,253.209.479.877,215071283096.0,37496362421.0,641834360.0,253209479877.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,220.000.000.000,116.934.290.103,1.002.417.693,337.936.707.796,220000000000.0,116934290103.0,1002417693.0,337936707796.0
