row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm (Trình bày lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm (Trình bày lại)
Trả trước theo các hợp đồng chuyển nhượng bất động sản (*),Trả trước theo các hợp đồng chuyển nhượng bất động sản (*),Trả trước theo các hợp đồng chuyển nhượng bất động sản (*),1.197.469.253.847,2.893.413.612.646,1197469253847.0,2893413612646.0
Trả trước cho hoạt động xây dựng,Trả trước cho hoạt động xây dựng,Trả trước cho hoạt động xây dựng,104.202.075.354,93.410.371.548,104202075354.0,93410371548.0
Trả trước ngắn hạn khác,Trả trước ngắn hạn khác,Trả trước ngắn hạn khác,311.181.364,348.357.397,311181364.0,348357397.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.301.982.510.565,2.987.172.341.591,1301982510565.0,2987172341591.0
