row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Thuyết minh,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,17.1,130.000.000,-,130.000.000,-,171.0,130000000.0,,130000000.0,
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,17.2,6.000.000.000,-,7.680.000.000,-,172.0,6000000000.0,,7680000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.130.000.000,-,7.810.000.000,-,,6130000000.0,,7810000000.0,
