row_label_raw,row_label_full,"Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_1","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_2","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_3","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_4","Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_5","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_1","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_2","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_3","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_4","numeric__Tại ngày 31 tháng 12 năm 2020, Tập đoàn có 16 công ty con. Thông tin chỉ tiết về các công ty con và tỷ lệ biểu quyết, tỷ lệ lợi ích của Tập đoàn trong các công ty con này như sau:_5"
STT,STT,STT,Tên công ty,Tỷ lệ lợi ích (%),Tỷ lệ biểu quyết (%),Trụ sở chính,Hoạt động chính,,,,,
1,STT > 1,1,Công ty Hà Đô 1,51%,51%,"Số 186 Hoàng Sâm, phường Nghĩa Đô, quận Cầu Giấy, Hà Nội","Xây dựng công trình giao thông, công trình dân dụng",,0.51,0.51,,
2,STT > 2,2,Công ty Khánh Hà,71%,71%,"Cầu Đá, phường Vĩnh Nguyên, thành phố Nha Trang, tỉnh Khánh Hòa",Đầu tư và kinh doanh bất động sản,,0.71,0.71,,
3,STT > 3,3,Công ty 756 Sài Gòn,89%,89%,"Số 200 đường 3/2, phường 12, quận 10, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.89,0.89,,
4,STT > 4,4,Công ty Hà Đô Mee,51%,51%,"Số 186 Hoàng Sâm, phường Nghĩa Đô, quận Cầu Giấy, Hà Nội","Xây dựng công trình giao thông, công trình dân dụng",,0.51,0.51,,
5,STT > 5,5,Công ty ZaHưng,52%,52%,"Số nhà 23, ngõ 82/6, đường Nghĩa Tân, phường Nghĩa Tân, quận Cầu Giấy, Hà Nội","Sản xuất, truyền tải và phân phối điện",,0.52,0.52,,
6,STT > 6,6,Công ty Sông Tranh 4 (i),63%,90%,"Thôn Tam Trú, xã Quế Lưu, huyện Hiệp Đức, tỉnh Quảng Nam, Việt Nam","Sản xuất, truyền tải và phân phối điện",,0.63,0.9,,
7,STT > 7,7,Công ty Hà Đô Bình Thuận (i),83%,90%,"Số 101 thôn Hồng Trung, xã Hồng Phong, huyện Bắc Bình, tỉnh Bình Thuận","Sản xuất, truyền tải và phân phối điện",,0.83,0.9,,
8,STT > 8,8,Công ty Quốc tế Hà Đô,100%,100%,"Số 272, đường Dondeng, bản Nongtha Tay huyện Chănthabuly, thủ đồ Viếng Chăn, Lào",Đầu tư và kinh doanh bất động sản,,1.0,1.0,,
9,STT > 9,9,Công ty Quản lý Hà Đô,100%,100%,"Số 60M Trường Sơn, phường 2, quận Tân Bình, thành phố Hồ Chí Minh","Tư vấn, quản lý bất động sản",,1.0,1.0,,
10,STT > 10,10,Công ty Bình An Riverside,99%,99%,"Số 2735 Phạm Thế Hiền, phường 7, quận 8, thành phố Hồ Chí Minh",Đầu tư và kinh doanh bất động sản,,0.99,0.99,,
