row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch I,Số cuối năm (VND) > 472.119.460.467,"Kỳ hạn trả gốc và lãi > Gốc đáo hạn từ ngày 25 tháng 3 năm 2021 tới ngày 15 tháng 5 năm 2031, gốc và lãi trả 6 tháng/lần.","Lãi suất > Lãi suất cố định 8%/năm trong năm đầu tiên và cộng biên độ 2,8%/năm",Hình thức đảm bảo > (v),numeric__Số cuối năm (VND) > 472.119.460.467,"numeric__Kỳ hạn trả gốc và lãi > Gốc đáo hạn từ ngày 25 tháng 3 năm 2021 tới ngày 15 tháng 5 năm 2031, gốc và lãi trả 6 tháng/lần.","numeric__Lãi suất > Lãi suất cố định 8%/năm trong năm đầu tiên và cộng biên độ 2,8%/năm",numeric__Hình thức đảm bảo > (v)
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,(28.800.000.000),,,,-28800000000.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,259.594.559.681,"Gốc đáo hạn từ ngày 15 tháng 1 năm 2021 đến ngày 15 tháng 4 năm 2027, lãi trả 3 tháng/lần.","Lãi suất tiết kiệm 12 tháng trả sau đối với khách hàng cá nhân của ngân hàng cộng biên độ 3,5%/năm",(vi),259594559681.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,(24.314.641.954),,,,-24314641954.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,197.425.401.906,"Gốc đáo hạn từ ngày 28 tháng 3 năm 2021 đến ngày 17 tháng 5 năm 2023. Lãi suất vay xác định theo từng giấy nhận nợ, với khoản VND biên độ cộng 4%/ năm, với khoản USD biên độ (+) 3%/năm.","6%-10,2%/ năm",(vii),197425401906.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,(73.482.400.000),,,,-73482400000.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,26.042.882.499,,,,26042882499.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,(9.693.420.000),,,,-9693420000.0,,,
Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Đông Anh,61.791.669.665,"Gốc đáo hạn từ ngày 18 tháng 11 năm 2022. Lãi suất vay xác định theo lãi suất huy động tiết kiệm cá nhân 12 tháng trả lãi sau (+) 2,8%/năm.","8,5%/năm",(viii),61791669665.0,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Ba Đình,1.314.000.000,"Gốc đáo hạn tại ngày 29 tháng 9 năm 2021, kì hạn vay 5 năm, lãi trả 1 tháng/lần.","10,8%/năm",(ix),1314000000.0,,,
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,(1.314.000.000),,,,-1314000000.0,,,
