row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phần Đầu tư IP Việt Nam,Mối quan hệ > Công ty có chung thành viên HĐQT,Nội dung nghiệp vụ > Lãi vay phải trả,Năm nay > 3.679.857.535,Đơn vị tính: VND > 4.536.575.342,numeric__Mối quan hệ > Công ty có chung thành viên HĐQT,numeric__Nội dung nghiệp vụ > Lãi vay phải trả,numeric__Năm nay > 3.679.857.535,numeric__Đơn vị tính: VND > 4.536.575.342
Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty Cổ phần Đầu tư An Lạc,Công ty có chung thành viên HĐQT,Lãi cho vay phải thuBù trừ cổ tức phải trả và lãi cho vayChia cổ tứcBù trừ cổ tức phải trả và cho vayTrả cổ tức bằng tiền,15.163.776.00014.850.000.00079.200.000.000136.125.000.000-,27.982.704.00013.798.494.00084.150.000.00060.451.506.0009.900.000.000,,,,2.7982704000137986e+53
Công ty Hà Đô 45,Công ty Hà Đô 45,Công ty Hà Đô 45,"Công ty con tới ngày 23 tháng 4 năm 2020, Công ty có chung thành viên HĐQT từ ngày 24 tháng 4 năm 2020",Phí thi công giám sát phải trảPhí thi công giám sát đã trảỨng trước của HĐ 756 phí dịch vụ thi công,1.622.498.23015.849.390.1239.158.073.475,-,,,1.622498230158494e+30,
Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Ông Nguyễn Trọng Minh,Phó Tổng Giám đốc,Đi vay,40.000.000.000,-,,,40000000000.0,
Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Ông Nguyễn Trọng Thông,Chủ tịch HĐQT,Đi vayHoàn trả khoản vay,-,39.000.000.00039.000.000.000,,,,3.900000000039e+21
