row_label_raw,row_label_full,col_0,Số đầu năm(Trình bày lại),Tăng/(giảm) do cácgiao dịchhợp nhất kinh doanh,Số phải nộp trong năm,Số đã nộp/cấn triturong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm(Trình bày lại),numeric__Tăng/(giảm) do cácgiao dịchhợp nhất kinh doanh,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cấn triturong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,18.790.251.874,(8.019.505.022),461.871.653.700,455.209.504.903,17.432.895.649,18790251874.0,-8019505022.0,461871653700.0,455209504903.0,17432895649.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,121.954.227.502,-,268.264.070.857,143.640.467.029,246.577.831.330,121954227502.0,,268264070857.0,143640467029.0,246577831330.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.285.038.776,(355.623.207),21.037.981.941,21.395.239.091,3.572.158.419,4285038776.0,-355623207.0,21037981941.0,21395239091.0,3572158419.0
Thuế và các khoản phải nộpNhà nước khác,Phải nộp > Thuế và các khoản phải nộpNhà nước khác,Thuế và các khoản phải nộpNhà nước khác,2.803.555.333,-,58.736.097.614,57.044.333.274,4.495.319.673,2803555333.0,,58736097614.0,57044333274.0,4495319673.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,147.833.073.485,(8.375.128.229),809.909.804.112,677.289.544.297,272.078.205.071,147833073485.0,-8375128229.0,809909804112.0,677289544297.0,272078205071.0
,,,Số đầu năm,,Số phải thu trong năm,Số đã thu/cấn triturong năm,Số cuối năm,,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,165.369.830.229,11.940.032.006,319.980.318.045,375.303.476.337,121.986.703.943,165369830229.0,11940032006.0,319980318045.0,375303476337.0,121986703943.0
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,32.224.714.950,-,7.896.749.959,19.682.635.218,20.438.829.691,32224714950.0,,7896749959.0,19682635218.0,20438829691.0
Thuế và các khoản phải thuNhà nước khác,Phải thu > Thuế và các khoản phải thuNhà nước khác,Thuế và các khoản phải thuNhà nước khác,466.680.567,(477.638.519),445.763.596,335.859.065,98.946.579,466680567.0,-477638519.0,445763596.0,335859065.0,98946579.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,198.061.225.746,11.462.393.487,328.322.831.600,395.321.970.620,142.524.480.213,198061225746.0,11462393487.0,328322831600.0,395321970620.0,142524480213.0
