row_label_raw,row_label_full,Số đầu năm > Lợi nhuận thuộc về cổ đông không kiểm soát trong năm,Năm nay > 848.199.070.717 > 274.716.622.811,Đơn vị tính: VND > Năm trước > 846.072.334.577 > 185.164.470.466,numeric__Năm nay > 848.199.070.717 > 274.716.622.811,numeric__Đơn vị tính: VND > Năm trước > 846.072.334.577 > 185.164.470.466
Chuyển nhượng công ty con,Chuyển nhượng công ty con,Chuyển nhượng công ty con,11.865.307.388,-,11865307388.0,
Tăng do góp thêm vốn tại các công ty con,Tăng do góp thêm vốn tại các công ty con,Tăng do góp thêm vốn tại các công ty con,3.640.341.666,7.755.000.000,3640341666.0,7755000000.0
Mua thêm phần vốn góp trong công ty con hiện hữu,Mua thêm phần vốn góp trong công ty con hiện hữu,Mua thêm phần vốn góp trong công ty con hiện hữu,1.056.051.618,4.682.125.083,1056051618.0,4682125083.0
Cổ tức đã chia,Cổ tức đã chia,Cổ tức đã chia,(177.708.732.500),(193.088.773.000),-177708732500.0,-193088773000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,(1.668.548.450),,-1668548450.0
Mua công ty con,Mua công ty con,Mua công ty con,-,(367.200.430),,-367200430.0
Giảm khác,Giảm khác,Giảm khác,(1.181.094.768),(350.337.529),-1181094768.0,-350337529.0
Số cuối năm,Số cuối năm,Số cuối năm,960.587.566.932,848.199.070.717,960587566932.0,848199070717.0
