row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Quản đội - Chi nhánh Ba ĐìnhTrong đó: Vay dài hạn đến hạn trả,Số cuối năm (VND) > 648.000.000(492.000.000),"Kỳ hạn trả gốc và lãi > Gốc đáo hạn từ ngày 25 tháng 1 năm 2021 đến 5 tháng 3 năm 2022, kì hạn vay 4 năm, lãi trả 1 tháng/lần",Lãi suất > 10%/năm,Hình thức đảm bảo > (ix),numeric__Số cuối năm (VND) > 648.000.000(492.000.000),"numeric__Kỳ hạn trả gốc và lãi > Gốc đáo hạn từ ngày 25 tháng 1 năm 2021 đến 5 tháng 3 năm 2022, kì hạn vay 4 năm, lãi trả 1 tháng/lần",numeric__Lãi suất > 10%/năm,numeric__Hình thức đảm bảo > (ix)
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.827.784.778.858,,,,4827784778858.0,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,5.039.481.240.812(211.696.461.954),,,,,,,
