row_label_raw,row_label_full,col_0,Số đầu năm (Trình bày lại) > Giá trị,Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm (Trình bày lại) > Giá trị,numeric__Số đầu năm (Trình bày lại) > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 24.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 24.1),Vay ngân hàng(Thuyết minh số 24.1),199.570.084.564,199.570.084.564,424.581.559.777,(556.239.183.846),67.912.460.495,67.912.460.495,199570084564.0,199570084564.0,424581559777.0,-556239183846.0,67912460495.0,67912460495.0
Vay đổi tượng khác(Thuyết minh số 24.2),Vay ngắn hạn > Vay đổi tượng khác(Thuyết minh số 24.2),Vay đổi tượng khác(Thuyết minh số 24.2),26.650.820.658,26.650.820.658,345.141.518.732,(106.499.660.236),265.292.679.154,265.292.679.154,26650820658.0,26650820658.0,345141518732.0,-106499660236.0,265292679154.0,265292679154.0
"Vay dài hạn đến hạn trả(Thuyết minh số 24.1, 24.2)","Vay ngắn hạn > Vay dài hạn đến hạn trả(Thuyết minh số 24.1, 24.2)","Vay dài hạn đến hạn trả(Thuyết minh số 24.1, 24.2)",701.342.366.390,701.342.366.390,313.723.487.074,(747.895.793.440),267.170.060.024,267.170.060.024,701342366390.0,701342366390.0,313723487074.0,-747895793440.0,267170060024.0,267170060024.0
Trái phiếu dài hạn đến hạn trả(Thuyết minh số 24.3),Vay ngắn hạn > Trái phiếu dài hạn đến hạn trả(Thuyết minh số 24.3),Trái phiếu dài hạn đến hạn trả(Thuyết minh số 24.3),198.869.500.000,198.869.500.000,250.668.171.233,(200.000.000.000),249.537.671.233,249.537.671.233,198869500000.0,198869500000.0,250668171233.0,-200000000000.0,249537671233.0,249537671233.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.126.432.771.612,1.126.432.771.612,1.334.114.736.816,(1.610.634.637.522),849.912.870.906,849.912.870.906,1126432771612.0,1126432771612.0,1334114736816.0,-1610634637522.0,849912870906.0,849912870906.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 24.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 24.1),Vay ngân hàng(Thuyết minh số 24.1),3.840.983.650.706,3.840.983.650.706,1.230.839.780.429,(244.038.652.277),4.827.784.778.858,4.827.784.778.858,3840983650706.0,3840983650706.0,1230839780429.0,-244038652277.0,4827784778858.0,4827784778858.0
Vay đổi tượng khác(Thuyết minh số 24.2),Vay dài hạn > Vay đổi tượng khác(Thuyết minh số 24.2),Vay đổi tượng khác(Thuyết minh số 24.2),55.473.598.070,55.473.598.070,43.842.123.397,(59.315.721.467),40.000.000.000,40.000.000.000,55473598070.0,55473598070.0,43842123397.0,-59315721467.0,40000000000.0,40000000000.0
Vay các bên liên quan(Thuyết minh số 34),Vay dài hạn > Vay các bên liên quan(Thuyết minh số 34),Vay các bên liên quan(Thuyết minh số 34),57.000.000.000,57.000.000.000,-,-,57.000.000.000,57.000.000.000,57000000000.0,57000000000.0,,,57000000000.0,57000000000.0
Trải phiếu(Thuyết minh số 24.3),Vay dài hạn > Trải phiếu(Thuyết minh số 24.3),Trải phiếu(Thuyết minh số 24.3),740.689.675.408,740.689.675.408,304.521.858.640,(252.089.856.787),793.121.677.261,793.121.677.261,740689675408.0,740689675408.0,304521858640.0,-252089856787.0,793121677261.0,793121677261.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.694.146.924.184,4.694.146.924.184,1.579.203.762.466,(555.444.230.531),5.717.906.456.119,5.717.906.456.119,4694146924184.0,4694146924184.0,1579203762466.0,-555444230531.0,5717906456119.0,5717906456119.0
