row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Bất động sảnđầu tư khác,Đơn vị tính: VND,"numeric__Nhà cửa,vật kiến trúc",numeric__Bất động sảnđầu tư khác,numeric__Đơn vị tính: VND
,,,"Nhà cửa,vật kiến trúc",Bất động sảnđầu tư khác,Tổng cộng,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm (Trình bày lại),Nguyên giá: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),635.763.997.064,94.454.149.752,730.218.146.816,635763997064.0,94454149752.0,730218146816.0
- Xây dựng cơ bảnhoàn thành,Nguyên giá: > - Xây dựng cơ bảnhoàn thành,- Xây dựng cơ bảnhoàn thành,245.958.178.221,-,245.958.178.221,245958178221.0,,245958178221.0
- Điều chuyển từ tài sảncố định hữu hình,Nguyên giá: > - Điều chuyển từ tài sảncố định hữu hình,- Điều chuyển từ tài sảncố định hữu hình,8.004.134.524,-,8.004.134.524,8004134524.0,,8004134524.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(17.890.527.587),-,(17.890.527.587),-17890527587.0,,-17890527587.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,871.835.782.222,94.454.149.752,966.289.931.974,871835782222.0,94454149752.0,966289931974.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,3.135.792.727,-,3.135.792.727,3135792727.0,,3135792727.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,
Số đầu năm (Trình bày lại),Giá trị hao mòn lũy kế: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),51.134.904.272,43.706.273.535,94.841.177.807,51134904272.0,43706273535.0,94841177807.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,20.790.440.152,7.858.534.147,28.648.974.299,20790440152.0,7858534147.0,28648974299.0
- Điều chuyển từ tài sảncố định hữu hình,Giá trị hao mòn lũy kế: > - Điều chuyển từ tài sảncố định hữu hình,- Điều chuyển từ tài sảncố định hữu hình,226.783.813,-,226.783.813,226783813.0,,226783813.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,72.152.128.237,51.564.807.682,123.716.935.919,72152128237.0,51564807682.0,123716935919.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm (Trình bày lại),Giá trị còn lại: > Số đầu năm (Trình bày lại),Số đầu năm (Trình bày lại),584.629.092.792,50.747.876.217,635.376.969.009,584629092792.0,50747876217.0,635376969009.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,799.683.653.985,42.889.342.070,842.572.996.055,799683653985.0,42889342070.0,842572996055.0
