row_label_raw,row_label_full,1,Doanh thu thuân về bản hàng và cung cấp dịch vụ,(vi),4.342.940.474.716,(35.255.498.606),4.307.684.976.110,numeric__Doanh thu thuân về bản hàng và cung cấp dịch vụ,numeric__(vi),numeric__4.342.940.474.716,numeric__(35.255.498.606),numeric__4.307.684.976.110
25,25,25,Chi phí bán hàng,(vi),(52.471.268.487),31.475.985.871,(20.995.282.616),,,-52471268487.0,31475985871.0,-20995282616.0
51,51,51,Chi phí thuế TNDN hiện hành,(vi),(249.488.264.950),755.902.547,(248.732.362.403),,,-249488264950.0,755902547.0,-248732362403.0
52,52,52,Thu nhập thuế TNDN hoãn lại,(vi),(23.289.630.370),(4.380.402.282),(27.670.032.652),,,-23289630370.0,-4380402282.0,-27670032652.0
60,60,60,Lợi nhuận sau thuế TNDN,(vi),1.116.977.976.595,(7.404.012.470),1.109.573.964.125,,,1116977976595.0,-7404012470.0,1109573964125.0
61,61,61,Lợi nhuận sau thuế của công ty mẹ,(vi),931.687.101.262,(7.277.607.603),924.409.493.659,,,931687101262.0,-7277607603.0,924409493659.0
62,62,62,Lợi nhuận sau thuế của cổ đông không kiểm soát,(vi),185.290.875.333,(126.404.867),185.164.470.466,,,185290875333.0,-126404867.0,185164470466.0
