row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm,Số đầu năm (Trình bày lại),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm (Trình bày lại)
400,400,400,D. VỐN CHỦ SỞ HỮU,,3.977.420.845.856,3.275.931.767.466,,,3977420845856.0,3275931767466.0
410,410,410,I. Vốn chủ sở hữu,26,3.977.420.845.856,3.275.931.767.466,,26.0,3977420845856.0,3275931767466.0
411,411,411,1. Vốn cổ phần đã phát hành,,1.542.750.180.000,1.186.812.890.000,,,1542750180000.0,1186812890000.0
411a,411a,411a,- Cổ phiếu phố thông có quyền biểu quyết,,1.542.750.180.000,1.186.812.890.000,,,1542750180000.0,1186812890000.0
412,412,412,2. Thặng dư vốn cổ phần,,387.992.000,(171.550.000),,,387992000.0,-171550000.0
414,414,414,3. Vốn khác của chủ sở hữu,,161.570.844.814,105.877.949.364,,,161570844814.0,105877949364.0
415,415,415,4. Cổ phiếu quỹ,,-,(326.270.000),,,,-326270000.0
417,417,417,5. Chênh lệch tỷ giá hối đoái,,(39.818.876.122),(17.806.509.772),,,-39818876122.0,-17806509772.0
418,418,418,6. Quỹ đầu tư phát triển,,51.211.243.573,51.211.243.573,,,51211243573.0,51211243573.0
421,421,421,7. Lợi nhuận sau thuế chưa phân phối,,1.300.731.894.659,1.102.134.943.584,,,1300731894659.0,1102134943584.0
421a,421a,421a,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,,689.805.478.994,571.109.955.504,,,689805478994.0,571109955504.0
421b,421b,421b,- Lợi nhuận sau thuế chưa phân phối năm nay,,610.926.415.665,531.024.988.080,,,610926415665.0,531024988080.0
429,429,429,8. Lợi ích cổ đông không kiểm soát,27,960.587.566.932,848.199.070.717,,27.0,960587566932.0,848199070717.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,13.878.647.734.807,13.859.974.579.596,,,13878647734807.0,13859974579596.0
