row_label_raw,row_label_full,Nội dung,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > Dự phòng
Công ty Cổ phần DAP – Vinachem,Công ty Cổ phần DAP – Vinachem,Công ty Cổ phần DAP – Vinachem,119.142.075.890,159.211.360.000,-,26.994.070.460,26.599.500.000,-,119142075890.0,159211360000.0,,26994070460.0,26599500000.0,
Công ty Cổ phần GTNFoods,Công ty Cổ phần GTNFoods,Công ty Cổ phần GTNFoods,9.013.174.170,9.275.994.000,-,-,-,-,9013174170.0,9275994000.0,,,,
Công ty Cổ phần SCI – S99,Công ty Cổ phần SCI – S99,Công ty Cổ phần SCI – S99,-,-,-,15.222.800.000,17.000.000.000,-,,,,15222800000.0,17000000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,128.155.250.060,168.487.354.000,-,42.216.870.460,43.599.500.000,-,128155250060.0,168487354000.0,,42216870460.0,43599500000.0,
