row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Eurocapital > Công ty TNHH Chứng khoán Mirae Asset (Việt Nam) > Công ty Cổ phần chứng khoán VIX,Giá trị (VND) > Đơn vị tư vấn phát hành > 400.000.000.000 > 381.000.000.000 > 650.000.000.000 > 440.000.000.000,"Lãi suất (%/năm) > Đơn vị tư vấn phát hành > Lãi suất 9,8%/năm và được điều chỉnh 3 tháng/lần, trả lãi 3 tháng/lần. > Lãi suất 9,5%/năm, trả lãi 6 tháng/lần. > Lãi suất 9,0%/năm, trả lãi 6 tháng/lần. > Lãi suất 10,5%/năm cho 3 tháng đầu tiên; sau đó lãi suất tham chiếu +3,5%/năm.",Kỳ hạn > Đơn vị tư vấn phát hành > Trong tháng 8 năm 2022 > Đảo hạn lần cuối trong tháng 9 năm 2021 > Trong tháng 9 năm 2023 > Đảo hạn tháng 3 năm 2022,"Tài sản đảm bảo > Đơn vị tư vấn phát hành > 29.684.916 cổ phiếu HEM (Công ty HEM), 2.500.000 cổ phiếu CAV (Công ty Cadivi) và 14.000.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 27.400.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 49.789.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty và Tổng Công ty Thiết bị điện Việt Nam, công ty mẹ của Nhóm Công ty. > Toàn bộ tài sản gắn liền với đất, các lợi ích hợp pháp phát sinh từ đất tại xã Long Đức, huyện Long Thành, tỉnh Đồng Nai và 19.500.000 cổ phiếu phổ thông CAV do Nhóm Công ty sở hữu",numeric__Giá trị (VND) > Đơn vị tư vấn phát hành > 400.000.000.000 > 381.000.000.000 > 650.000.000.000 > 440.000.000.000,"numeric__Lãi suất (%/năm) > Đơn vị tư vấn phát hành > Lãi suất 9,8%/năm và được điều chỉnh 3 tháng/lần, trả lãi 3 tháng/lần. > Lãi suất 9,5%/năm, trả lãi 6 tháng/lần. > Lãi suất 9,0%/năm, trả lãi 6 tháng/lần. > Lãi suất 10,5%/năm cho 3 tháng đầu tiên; sau đó lãi suất tham chiếu +3,5%/năm.",numeric__Kỳ hạn > Đơn vị tư vấn phát hành > Trong tháng 8 năm 2022 > Đảo hạn lần cuối trong tháng 9 năm 2021 > Trong tháng 9 năm 2023 > Đảo hạn tháng 3 năm 2022,"numeric__Tài sản đảm bảo > Đơn vị tư vấn phát hành > 29.684.916 cổ phiếu HEM (Công ty HEM), 2.500.000 cổ phiếu CAV (Công ty Cadivi) và 14.000.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 27.400.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty. > 49.789.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty và Tổng Công ty Thiết bị điện Việt Nam, công ty mẹ của Nhóm Công ty. > Toàn bộ tài sản gắn liền với đất, các lợi ích hợp pháp phát sinh từ đất tại xã Long Đức, huyện Long Thành, tỉnh Đồng Nai và 19.500.000 cổ phiếu phổ thông CAV do Nhóm Công ty sở hữu"
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(24.712.671.160),,,,-24712671160.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.846.287.328.840,,,,1846287328840.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,549.238.366.933,,,,549238366933.0,,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,1.297.048.961.907,,,,1297048961907.0,,,
