row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
"Phải trả người bán- LS NikkoCooper Inc- Mitsui & Co.,Ltd (*)- Khác","Ngắn hạn > Phải trả người bán- LS NikkoCooper Inc- Mitsui & Co.,Ltd (*)- Khác","Phải trả người bán- LS NikkoCooper Inc- Mitsui & Co.,Ltd (*)- Khác",2.330.503.737.6021.764.855.893.231,2.330.503.737.6021.764.855.893.231,650.414.367.800101.425.278.187,650.414.367.800101.425.278.187,2.3305037376021763e+25,2.3305037376021763e+25,6.504143678001014e+23,6.504143678001014e+23
"Phải trả người bán- LS NikkoCooper Inc- Mitsui & Co.,Ltd (*)- Khác","Ngắn hạn > Phải trả người bán- LS NikkoCooper Inc- Mitsui & Co.,Ltd (*)- Khác","Phải trả người bán- LS NikkoCooper Inc- Mitsui & Co.,Ltd (*)- Khác",42.506.130.675523.141.713.696,42.506.130.675523.141.713.696,220.751.172.787328.237.916.826,220.751.172.787328.237.916.826,4.250613067552314e+22,4.250613067552314e+22,2.2075117278732825e+23,2.2075117278732825e+23
Phải trả cho các bên liên quan(Thuyết minhsố 30),Ngắn hạn > Phải trả cho các bên liên quan(Thuyết minhsố 30),Phải trả cho các bên liên quan(Thuyết minhsố 30),253.468.051.906,253.468.051.906,63.977.244.698,63.977.244.698,253468051906.0,253468051906.0,63977244698.0,63977244698.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,2.583.971.789.508,2.583.971.789.508,714.391.612.498,714.391.612.498,2583971789508.0,2583971789508.0,714391612498.0,714391612498.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải trả người bán- Công ty Cổ phần Cơ điện và Thiết bị ĐiệnMechanlex,Dài hạn > Phải trả người bán- Công ty Cổ phần Cơ điện và Thiết bị ĐiệnMechanlex,Phải trả người bán- Công ty Cổ phần Cơ điện và Thiết bị ĐiệnMechanlex,-,-,22.352.450.000,22.352.450.000,,,22352450000.0,22352450000.0
Phải trả người bán- Công ty Cổ phần Cơ điện và Thiết bị ĐiệnMechanlex,Dài hạn > Phải trả người bán- Công ty Cổ phần Cơ điện và Thiết bị ĐiệnMechanlex,Phải trả người bán- Công ty Cổ phần Cơ điện và Thiết bị ĐiệnMechanlex,-,-,22.352.450.000,22.352.450.000,,,22352450000.0,22352450000.0
Phải trả cho các bên liên quan(Thuyết minhsố 30),Dài hạn > Phải trả cho các bên liên quan(Thuyết minhsố 30),Phải trả cho các bên liên quan(Thuyết minhsố 30),72.620.064.000,72.620.064.000,22.345.000.000,22.345.000.000,72620064000.0,72620064000.0,22345000000.0,22345000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,72.620.064.000,72.620.064.000,44.697.450.000,44.697.450.000,72620064000.0,72620064000.0,44697450000.0,44697450000.0
