row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
- Chi phí dịch vụ mua ngoài,Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,126.589.717.895,116.635.899.907,126589717895.0,116635899907.0
- Chi phí nhân công,Chi phí bán hàng > - Chi phí nhân công,- Chi phí nhân công,101.343.771.537,101.845.765.082,101343771537.0,101845765082.0
- Chi phí nguyên vật liệu,Chi phí bán hàng > - Chi phí nguyên vật liệu,- Chi phí nguyên vật liệu,34.610.867.785,20.934.131.607,34610867785.0,20934131607.0
- Chi phí khấu hao và hao mòn,Chi phí bán hàng > - Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,7.290.283.863,5.668.191.930,7290283863.0,5668191930.0
- Chi phí khác,Chi phí bán hàng > - Chi phí khác,- Chi phí khác,142.808.867.133,119.868.176.928,142808867133.0,119868176928.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,412.643.508.213,364.952.165.454,412643508213.0,364952165454.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
- Chi phí nhân công,Chi phí quản lý doanh nghiệp > - Chi phí nhân công,- Chi phí nhân công,162.936.686.513,166.802.851.691,162936686513.0,166802851691.0
- Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,85.813.724.922,61.707.471.942,85813724922.0,61707471942.0
- Phân bổ lợi thế thương mại(Thuyết minh số 16),Chi phí quản lý doanh nghiệp > - Phân bổ lợi thế thương mại(Thuyết minh số 16),- Phân bổ lợi thế thương mại(Thuyết minh số 16),22.453.959.621,22.453.959.620,22453959621.0,22453959620.0
- Chi phí khấu hao và hao mòn,Chi phí quản lý doanh nghiệp > - Chi phí khấu hao và hao mòn,- Chi phí khấu hao và hao mòn,15.860.345.415,11.800.443.695,15860345415.0,11800443695.0
- Chi phí nguyên vật liệu,Chi phí quản lý doanh nghiệp > - Chi phí nguyên vật liệu,- Chi phí nguyên vật liệu,1.908.085.976,7.089.438.669,1908085976.0,7089438669.0
- Chi phí khác,Chi phí quản lý doanh nghiệp > - Chi phí khác,- Chi phí khác,66.710.338.399,114.041.696.522,66710338399.0,114041696522.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,355.683.140.846,383.895.862.139,355683140846.0,383895862139.0
