row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 28.286.630.330,Số phải nộpvà tăng do hợpnhất trong năm > 470.498.178.874,Số đã nộptrong năm > (466.308.103.954),Đơn vị tính: VND > 32.476.705.250,numeric__Số đầu năm > 28.286.630.330,numeric__Số phải nộpvà tăng do hợpnhất trong năm > 470.498.178.874,numeric__Số đã nộptrong năm > (466.308.103.954),numeric__Đơn vị tính: VND > 32.476.705.250
Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,Thuế thu nhậpdoanh nghiệp,57.804.162.328,181.448.174.547,(183.854.564.141),55.397.772.734,57804162328.0,181448174547.0,-183854564141.0,55397772734.0
Thuế thu nhập cánhân,Thuế thu nhập cánhân,Thuế thu nhập cánhân,7.399.850.365,33.987.857.671,(37.474.655.300),3.913.052.736,7399850365.0,33987857671.0,-37474655300.0,3913052736.0
Các loại thuế và phíkhác,Các loại thuế và phíkhác,Các loại thuế và phíkhác,64.556.179,33.844.382.898,(33.612.534.038),296.405.039,64556179.0,33844382898.0,-33612534038.0,296405039.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,93.555.199.202,719.778.593.990,-721.249.857.433,92.083.935.759,93555199202.0,719778593990.0,-721249857433.0,92083935759.0
