row_label_raw,row_label_full,col_0,col_1,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Tăng do hợp nhất kinh doanh,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__col_1,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Tăng do hợp nhất kinh doanh,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,,,
Vay ngắn hàng,Vay ngắn hạn > Vay ngắn hàng,Vay ngắn hàng,22.1,2.454.155.037.123,2.454.155.037.123,13.848.421.976.219,(13.856.174.945.368),308.570.272.035,2.754.972.340.009,2.754.972.340.009,221.0,2454155037123.0,2454155037123.0,13848421976219.0,-13856174945368.0,308570272035.0,2754972340009.0,2754972340009.0
Vay đổi tượng khác,Vay ngắn hạn > Vay đổi tượng khác,Vay đổi tượng khác,22.2,137.758.938.780,137.758.938.780,814.103.909.410,(938.472.508.190),,13.390.340.000,13.390.340.000,222.0,137758938780.0,137758938780.0,814103909410.0,-938472508190.0,,13390340000.0,13390340000.0
Trái phiếu phát hành,Vay ngắn hạn > Trái phiếu phát hành,Trái phiếu phát hành,,199.872.777.781,199.872.777.781,127.222.219,(200.000.000.000),,-,-,,199872777781.0,199872777781.0,127222219.0,-200000000000.0,,,
Vay dài hạn đến hạn trả,Vay ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,22.3,110.590.133.298,110.590.133.298,139.954.656.498,(109.396.467.816),,141.148.321.980,141.148.321.980,223.0,110590133298.0,110590133298.0,139954656498.0,-109396467816.0,,141148321980.0,141148321980.0
Trái phiếu dài hạn đến hạn thanh toán,Vay ngắn hạn > Trái phiếu dài hạn đến hạn thanh toán,Trái phiếu dài hạn đến hạn thanh toán,22.4,110.000.000.000,110.000.000.000,549.238.366.933,(110.000.000.000),,549.238.366.933,549.238.366.933,224.0,110000000000.0,110000000000.0,549238366933.0,-110000000000.0,,549238366933.0,549238366933.0
Vay các bên liên quan,Vay ngắn hạn > Vay các bên liên quan,Vay các bên liên quan,22.5,205.000.000.000,205.000.000.000,2.947.671.008.134,(2.664.566.662.080),,488.104.346.054,488.104.346.054,225.0,205000000000.0,205000000000.0,2947671008134.0,-2664566662080.0,,488104346054.0,488104346054.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,3.217.376.886.982,3.217.376.886.982,18.299.517.139.413,(17.878.610.583.454),308.570.272.035,3.946.853.714.976,3.946.853.714.976,,3217376886982.0,3217376886982.0,18299517139413.0,-17878610583454.0,308570272035.0,3946853714976.0,3946853714976.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngắn hàng,Vay dài hạn > Vay ngắn hàng,Vay ngắn hàng,22.3,432.459.204.897,432.459.204.897,126.771.219.068,(154.077.884.556),,405.152.539.409,405.152.539.409,223.0,432459204897.0,432459204897.0,126771219068.0,-154077884556.0,,405152539409.0,405152539409.0
Trái phiếu,Vay dài hạn > Trái phiếu,Trái phiếu,22.4,1.709.742.414.873,1.709.742.414.873,672.668.696.773,(1.085.362.149.739),,1.297.048.961.907,1.297.048.961.907,224.0,1709742414873.0,1709742414873.0,672668696773.0,-1085362149739.0,,1297048961907.0,1297048961907.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,2.142.201.619.770,2.142.201.619.770,799.439.915.841,(1.239.440.034.295),,1.702.201.501.316,1.702.201.501.316,,2142201619770.0,2142201619770.0,799439915841.0,-1239440034295.0,,1702201501316.0,1702201501316.0
