row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Trả trước cho người bán ngắn hạn > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Công ty mẹ,Mua dịch vụ,-,1.287.100.000,,,,1287100000.0
,,,,,-,1.287.100.000,,,,1287100000.0
Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),Phải trả người bán ngắn hạn (Thuyết minh số 17),,,,
Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Công ty mẹ,"Mua nguyên vật liệu, dịch vụ",244.064.793.537,29.212.880.375,,,244064793537.0,29212880375.0
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,Mua hàng hóa,8.442.267.978,870.142.070,,,8442267978.0,870142070.0
Công ty dây đồng Việt Nam CFT,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty dây đồng Việt Nam CFT,Công ty dây đồng Việt Nam CFT,Công ty cùng Tập đoàn tới ngày 28 tháng 8 năm 2020,"Mua hàng hóa, dịch vụ",-,32.149.858.433,,,,32149858433.0
Công ty TNHH Một thành viên Gelex Land,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH Một thành viên Gelex Land,Công ty TNHH Một thành viên Gelex Land,Công ty cùng Tập đoàn,Phí tư vấn,939.400.000,1.045.000.000,,,939400000.0,1045000000.0
Công ty TNHH MTV Sotrans Logistic,Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty TNHH MTV Sotrans Logistic,Công ty TNHH MTV Sotrans Logistic,Công ty cùng Tập đoàn tới ngày 30 tháng 6 năm 2020,Phải trả về mua dịch vụ,-,680.990.000,,,,680990000.0
Công ty Cổ phần Chứng khoán VIX [“trước đây là Công ty Cổ phần Chứng khoán IB”],Phải trả người bán ngắn hạn (Thuyết minh số 17) > Công ty Cổ phần Chứng khoán VIX [“trước đây là Công ty Cổ phần Chứng khoán IB”],Công ty Cổ phần Chứng khoán VIX [“trước đây là Công ty Cổ phần Chứng khoán IB”],Bên liên quan khác,Phải trả về phí lưu ký chứng khoán,21.590.391,18.373.820,,,21590391.0,18373820.0
,,,,,253.468.051.906,63.977.244.698,,,253468051906.0,63977244698.0
Phải trả người bán dài hạn (Thuyết minh số 17),Phải trả người bán dài hạn (Thuyết minh số 17),Phải trả người bán dài hạn (Thuyết minh số 17),Phải trả người bán dài hạn (Thuyết minh số 17),Phải trả người bán dài hạn (Thuyết minh số 17),Phải trả người bán dài hạn (Thuyết minh số 17),Phải trả người bán dài hạn (Thuyết minh số 17),,,,
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Phải trả người bán dài hạn (Thuyết minh số 17) > Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,Mua nguyên vật liệu,72.620.064.000,22.345.000.000,,,72620064000.0,22345000000.0
,,,,,72.620.064.000,22.345.000.000,,,72620064000.0,22345000000.0
