row_label_raw,row_label_full,Năm nay > Số đầu năm > Lợi nhuận thuần trong năm > Phân phối lợi nhuận trong năm (*),Vốn góp của chủ sở hữu > Năm nay > 2.218.700.000.000 > -,Quỹ đầu tư phát triển > Năm nay > 5.000.000.000 > -,Quỹ khác thuộc vốn chủ sở hữu > Năm nay > 464.368.621.259 > -,Lợi nhuận chưa phân phối > Năm nay > 360.811.611.545 > 556.838.633.122 > (427.496.000.000),Lợi ích của cổ đông không kiểm soát > Năm nay > 599.347.539.257 > 98.791.883.784 > (44.373.545.500),Đơn vị tính: VND Tổng cộng > Năm nay > 3.648.227.772.061 > 655.630.516.906 > (471.869.545.500),numeric__Vốn góp của chủ sở hữu > Năm nay > 2.218.700.000.000 > -,numeric__Quỹ đầu tư phát triển > Năm nay > 5.000.000.000 > -,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm nay > 464.368.621.259 > -,numeric__Lợi nhuận chưa phân phối > Năm nay > 360.811.611.545 > 556.838.633.122 > (427.496.000.000),numeric__Lợi ích của cổ đông không kiểm soát > Năm nay > 599.347.539.257 > 98.791.883.784 > (44.373.545.500),numeric__Đơn vị tính: VND Tổng cộng > Năm nay > 3.648.227.772.061 > 655.630.516.906 > (471.869.545.500)
Tăng do mua công ty con,Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,137.229.125.016,137.229.125.016,,,,,137229125016.0,137229125016.0
Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,(27.875.998.821),(267.113.624.641),(294.989.623.462),,,,-27875998821.0,-267113624641.0,-294989623462.0
Trích quỹ khen thưởng phúc lợi (*) (**),Trích quỹ khen thưởng phúc lợi (*) (**),Trích quỹ khen thưởng phúc lợi (*) (**),-,-,-,(36.663.626.573),(3.454.088.266),(40.117.714.839),,,,-36663626573.0,-3454088266.0,-40117714839.0
Số cuối năm,Số cuối năm,Số cuối năm,2.218.700.000.000,5.000.000.000,464.368.621.259,425.614.619.273,520.427.289.650,3.634.110.530.182,2218700000000.0,5000000000.0,464368621259.0,425614619273.0,520427289650.0,3634110530182.0
