row_label_raw,row_label_full,Bên liên quan > Phải thu khách hàng (Thuyết minh số 7),Mối quan hệ > Phải thu khách hàng (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 7),Số cuối năm > Phải thu khách hàng (Thuyết minh số 7),Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng (Thuyết minh số 7),numeric__Mối quan hệ > Phải thu khách hàng (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu khách hàng (Thuyết minh số 7),numeric__Số cuối năm > Phải thu khách hàng (Thuyết minh số 7),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu khách hàng (Thuyết minh số 7)
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,Bán hàng hóa và thành phẩm,11.104.052.802,-,,,11104052802.0,
Công ty Cổ phần Chế tạo Bơm Hải Dương,Công ty Cổ phần Chế tạo Bơm Hải Dương,Công ty Cổ phần Chế tạo Bơm Hải Dương,Bên liên quan khác,Bán hàng hóa và thành phẩm,-,51.558.885.338,,,,51558885338.0
Các công ty khác,Các công ty khác,Các công ty khác,Công ty cùng Tập đoàn,"Bán hàng hóa, thành phẩm và cung cấp dịch vụ",-,511.468.397,,,,511468397.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,11.104.052.802,52.070.353.735,,,11104052802.0,52070353735.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,,
Công ty Cổ phần Phú Thạnh Mỹ,Người mua trả tiền trước ngắn hạn > Công ty Cổ phần Phú Thạnh Mỹ,Công ty Cổ phần Phú Thạnh Mỹ,Công ty cùng Tập đoàn,Ứng trước tiền hàng,535.256.542,12.814.732,,,535256542.0,12814732.0
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Người mua trả tiền trước ngắn hạn > Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết của Nhóm Công ty,Ứng trước tiền hàng,-,5.403.109.302,,,,5403109302.0
,,,,,535.256.542,5.415.924.034,,,535256542.0,5415924034.0
Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),Phải thu khác (Thuyết minh số 8),,,,
Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Phải thu khác (Thuyết minh số 8) > Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Tổng Công ty Cổ phần Thiết bị Điện Việt Nam,Công ty mẹ,Phải thu về gốc ngắn hạn và lãi ký quý,171.596.273.972,52.063.447.317,,,171596273972.0,52063447317.0
,,,,,171.596.273.972,52.063.447.317,,,171596273972.0,52063447317.0
